C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.23	297.453	1592.26	1592.26	1592.26	1592.26	1592.26	1592.26	1592.26	0	0
1189.33	297.353	1862.55	1862.55	1862.55	1862.55	1862.55	1862.55	1862.55	0	0
1189.43	297.253	1783.54	1783.54	1783.54	1783.54	1783.54	1783.54	1783.54	0	0
1189.53	297.153	1524.01	1524.01	1524.01	1524.01	1524.01	1524.01	1524.01	0	0
1189.63	297.053	1799.65	1799.65	1799.65	1799.65	1799.65	1799.65	1799.65	0	0
1189.73	296.953	1438.69	1438.69	1438.69	1438.69	1438.69	1438.69	1438.69	0	0
1189.83	296.853	1800.32	1800.32	1800.32	1800.32	1800.32	1800.32	1800.32	0	0
1189.93	296.753	1126.1	1126.1	1126.1	1126.1	1126.1	1126.1	1126.1	0	0
1190.03	296.653	1679.2	1679.2	1679.2	1679.2	1679.2	1679.2	1679.2	0	0
1190.13	296.553	1657.65	1657.65	1657.65	1657.65	1657.65	1657.65	1657.65	0	0
1190.23	296.453	1781.48	1781.48	1781.48	1781.48	1781.48	1781.48	1781.48	0	0
1190.33	296.353	1546.52	1546.52	1546.52	1546.52	1546.52	1546.52	1546.52	0	0
1190.43	296.253	1552.53	1552.53	1552.53	1552.53	1552.53	1552.53	1552.53	0	0
1190.53	296.153	1555.02	1555.02	1555.02	1555.02	1555.02	1555.02	1555.02	0	0
1190.63	296.053	1567.95	1567.95	1567.95	1567.95	1567.95	1567.95	1567.95	0	0
1190.73	295.953	1713.68	1713.68	1713.68	1713.68	1713.68	1713.68	1713.68	0	0
1190.83	295.853	1714.9	1714.9	1714.9	1714.9	1714.9	1714.9	1714.9	0	0
1190.93	295.753	1318.31	1318.31	1318.31	1318.31	1318.31	1318.31	1318.31	0	0
1191.03	295.653	1277.51	1277.51	1277.51	1277.51	1277.51	1277.51	1277.51	0	0
1191.13	295.553	1380.54	1380.54	1380.54	1380.54	1380.54	1380.54	1380.54	0	0
1191.23	295.453	1605.55	1605.55	1605.55	1605.55	1605.55	1605.55	1605.55	0	0
1191.33	295.353	1429.54	1429.54	1429.54	1429.54	1429.54	1429.54	1429.54	0	0
1191.43	295.253	1607.57	1607.57	1607.57	1607.57	1607.57	1607.57	1607.57	0	0
1191.53	295.153	1608.95	1608.95	1608.95	1608.95	1608.95	1608.95	1608.95	0	0
1191.63	295.053	1760.12	1760.12	1760.12	1760.12	1760.12	1760.12	1760.12	0	0
1191.73	294.953	1468.81	1468.81	1468.81	1468.81	1468.81	1468.81	1468.81	0	0
1191.83	294.853	1371.2	1371.2	1371.2	1371.2	1371.2	1371.2	1371.2	0	0
1191.93	294.753	1134.09	1134.09	1134.09	1134.09	1134.09	1134.09	1134.09	0	0
1192.03	294.653	1353.02	1353.02	1353.02	1353.02	1353.02	1353.02	1353.02	0	0
1192.13	294.553	1393.31	1393.31	1393.31	1393.31	1393.31	1393.31	1393.31	0	0
1192.23	294.453	1463.41	1463.41	1463.41	1463.41	1463.41	1463.41	1463.41	0	0
1192.33	294.353	1366.07	1366.07	1366.07	1366.07	1366.07	1366.07	1366.07	0	0
1192.43	294.253	1663.68	1663.68	1663.68	1663.68	1663.68	1663.68	1663.68	0	0
1192.53	294.153	1480.27	1480.27	1480.27	1480.27	1480.27	1480.27	1480.27	0	0
1192.63	294.053	1166.89	1166.89	1166.89	1166.89	1166.89	1166.89	1166.89	0	0
1192.73	293.953	1335.78	1335.78	1335.78	1335.78	1335.78	1335.78	1335.78	0	0
1192.83	293.853	1155.24	1155.24	1155.24	1155.24	1155.24	1155.24	1155.24	0	0
1192.93	293.753	1161.78	1161.78	1161.78	1161.78	1161.78	1161.78	1161.78	0	0
1193.03	293.653	1541.4	1541.4	1541.4	1541.4	1541.4	1541.4	1541.4	0	0
1193.13	293.553	1279.11	1279.11	1279.11	1279.11	1279.11	1279.11	1279.11	0	0
1193.23	293.453	1195.06	1195.06	1195.06	1195.06	1195.06	1195.06	1195.06	0	0
1193.33	293.353	1296.71	1296.71	1296.71	1296.71	1296.71	1296.71	1296.71	0	0
1193.43	293.253	1085.46	1085.46	1085.46	1085.46	1085.46	1085.46	1085.46	0	0
