C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.29	297.393	1771.29	1771.29	1771.29	1771.29	1771.29	1771.29	1771.29	0	0
1189.39	297.293	1538.94	1538.94	1538.94	1538.94	1538.94	1538.94	1538.94	0	0
1189.49	297.193	1940.88	1940.88	1940.88	1940.88	1940.88	1940.88	1940.88	0	0
1189.59	297.093	2044.78	2044.78	2044.78	2044.78	2044.78	2044.78	2044.78	0	0
1189.69	296.993	1952.89	1952.89	1952.89	1952.89	1952.89	1952.89	1952.89	0	0
1189.79	296.893	1853.71	1853.71	1853.71	1853.71	1853.71	1853.71	1853.71	0	0
1189.89	296.793	1779.59	1779.59	1779.59	1779.59	1779.59	1779.59	1779.59	0	0
1189.99	296.693	1921.8	1921.8	1921.8	1921.8	1921.8	1921.8	1921.8	0	0
1190.09	296.593	2071.02	2071.02	2071.02	2071.02	2071.02	2071.02	2071.02	0	0
1190.19	296.493	1469.15	1469.15	1469.15	1469.15	1469.15	1469.15	1469.15	0	0
1190.29	296.393	1989.17	1989.17	1989.17	1989.17	1989.17	1989.17	1989.17	0	0
1190.39	296.293	2013.74	2013.74	2013.74	2013.74	2013.74	2013.74	2013.74	0	0
1190.49	296.193	1757.36	1757.36	1757.36	1757.36	1757.36	1757.36	1757.36	0	0
1190.59	296.093	1564.37	1564.37	1564.37	1564.37	1564.37	1564.37	1564.37	0	0
1190.69	295.993	1988.28	1988.28	1988.28	1988.28	1988.28	1988.28	1988.28	0	0
1190.79	295.893	1668.22	1668.22	1668.22	1668.22	1668.22	1668.22	1668.22	0	0
1190.89	295.793	2037.42	2037.42	2037.42	2037.42	2037.42	2037.42	2037.42	0	0
1190.99	295.693	1703.3	1703.3	1703.3	1703.3	1703.3	1703.3	1703.3	0	0
1191.09	295.593	1658.32	1658.32	1658.32	1658.32	1658.32	1658.32	1658.32	0	0
1191.19	295.493	1656.36	1656.36	1656.36	1656.36	1656.36	1656.36	1656.36	0	0
1191.29	295.393	1746.94	1746.94	1746.94	1746.94	1746.94	1746.94	1746.94	0	0
1191.39	295.293	1510.42	1510.42	1510.42	1510.42	1510.42	1510.42	1510.42	0	0
1191.49	295.193	1399.25	1399.25	1399.25	1399.25	1399.25	1399.25	1399.25	0	0
1191.59	295.093	1732.51	1732.51	1732.51	1732.51	1732.51	1732.51	1732.51	0	0
1191.69	294.993	1571.11	1571.11	1571.11	1571.11	1571.11	1571.11	1571.11	0	0
1191.79	294.893	1578.21	1578.21	1578.21	1578.21	1578.21	1578.21	1578.21	0	0
1191.89	294.793	1674.81	1674.81	1674.81	1674.81	1674.81	1674.81	1674.81	0	0
1191.99	294.693	1385.45	1385.45	1385.45	1385.45	1385.45	1385.45	1385.45	0	0
1192.09	294.593	1541.43	1541.43	1541.43	1541.43	1541.43	1541.43	1541.43	0	0
1192.19	294.493	1598.07	1598.07	1598.07	1598.07	1598.07	1598.07	1598.07	0	0
1192.29	294.393	1504.93	1504.93	1504.93	1504.93	1504.93	1504.93	1504.93	0	0
1192.39	294.293	1515.22	1515.22	1515.22	1515.22	1515.22	1515.22	1515.22	0	0
1192.49	294.193	1711.38	1711.38	1711.38	1711.38	1711.38	1711.38	1711.38	0	0
1192.59	294.093	1684.03	1684.03	1684.03	1684.03	1684.03	1684.03	1684.03	0	0
1192.69	293.993	1672.72	1672.72	1672.72	1672.72	1672.72	1672.72	1672.72	0	0
1192.79	293.893	1869.4	1869.4	1869.4	1869.4	1869.4	1869.4	1869.4	0	0
1192.89	293.793	1665.45	1665.45	1665.45	1665.45	1665.45	1665.45	1665.45	0	0
1192.99	293.693	1911.49	1911.49	1911.49	1911.49	1911.49	1911.49	1911.49	0	0
1193.09	293.593	1589.83	1589.83	1589.83	1589.83	1589.83	1589.83	1589.83	0	0
1193.19	293.493	1877.24	1877.24	1877.24	1877.24	1877.24	1877.24	1877.24	0	0
1193.29	293.393	1746.54	1746.54	1746.54	1746.54	1746.54	1746.54	1746.54	0	0
1193.39	293.293	1706.65	1706.65	1706.65	1706.65	1706.65	1706.65	1706.65	0	0
1193.49	293.193	1384.45	1384.45	1384.45	1384.45	1384.45	1384.45	1384.45	0	0
1193.59	293.093	1642.95	1642.95	1642.95	1642.95	1642.95	1642.95	1642.95	0	0
1193.69	292.993	1693.95	1693.95	1693.95	1693.95	1693.95	1693.95	1693.95	0	0
1193.79	292.893	1687.82	1687.82	1687.82	1687.82	1687.82	1687.82	1687.82	0	0
1193.89	292.793	1712.37	1712.37	1712.37	1712.37	1712.37	1712.37	1712.37	0	0
1193.99	292.693	1538.88	1538.88	1538.88	1538.88	1538.88	1538.88	1538.88	0	0
1194.09	292.593	1822.76	1623.2	1623.2	1623.2	1623.2	1623.2	1623.2	-1.04519	-9.97804
1194.19	292.493	1508.42	1623.11	1623.11	1623.11	1623.11	1623.11	1623.11	0.660289	5.73431
1194.29	292.393	1767.16	1623	1623	1623	1623	1623	1623	-0.766804	-7.20786
1194.39	292.293	1600.19	1622.98	1622.98	1622.98	1622.98	1622.98	1622.98	0.127389	1.13947
1194.49	292.193	1452.39	1622.84	1622.84	1622.84	1622.85	1622.84	1622.85	1.00018	8.52325
1194.59	292.093	1753.98	1622.74	1622.74	1622.74	1622.76	1622.74	1622.76	-0.700587	-6.56084
1194.69	291.993	1577.1	1622.71	1622.71	1622.71	1622.74	1622.71	1622.74	0.257013	2.28228
1194.79	291.893	1323.12	1622.47	1622.47	1622.47	1622.54	1622.47	1622.54	1.84063	14.971
1194.89	291.793	1552.11	1622.42	1622.42	1622.42	1622.53	1622.42	1622.53	0.399706	3.52116
1194.99	291.693	1895.65	1622.2	1622.2	1622.2	1622.4	1622.2	1622.4	-1.40333	-13.6623
1195.09	291.593	1098.24	1621.79	1621.79	1621.79	1622.14	1621.79	1622.14	3.53495	26.1949
1195.19	291.493	1237.76	1621.49	1621.49	1621.49	1622.08	1621.49	1622.08	2.44263	19.2159
1195.29	291.393	1435.18	1621.35	1621.35	1621.35	1622.32	1621.35	1622.32	1.10461	9.3572
1195.39	291.293	1305.52	1621.1	1621.1	1621.1	1622.7	1621.1	1622.7	1.9629	15.859
1195.49	291.193	1721.27	1621.02	1621.02	1621.03	1623.61	1621.02	1623.61	-0.526323	-4.88272
1195.59	291.093	1566.97	1620.98	1620.98	1620.99	1625.09	1620.98	1625.1	0.328368	2.90654
1195.69	290.993	1682.73	1620.93	1620.93	1620.95	1627.35	1620.93	1627.36	-0.301782	-2.76813
1195.79	290.893	1429.41	1620.78	1620.78	1620.81	1630.67	1620.78	1630.7	1.19048	10.0643
1195.89	290.793	1457.54	1620.65	1620.65	1620.71	1635.63	1620.65	1635.68	1.04335	8.90685
1195.99	290.693	1457.29	1620.53	1620.53	1620.61	1642.79	1620.53	1642.88	1.08708	9.27942
1196.09	290.593	1663.96	1620.49	1620.49	1620.64	1653.11	1620.49	1653.25	-0.0586904	-0.535332
1196.19	290.493	1876.31	1620.29	1620.29	1620.53	1667.32	1620.29	1667.55	-1.07764	-10.4378
1196.29	290.393	1900.93	1620.07	1620.07	1620.46	1686.64	1620.07	1687.02	-1.09703	-10.6951
1196.39	290.293	1491.37	1619.97	1619.97	1620.58	1712.61	1619.97	1713.22	1.28455	11.0925
1196.49	290.193	1472.56	1619.86	1619.86	1620.81	1746.75	1619.86	1747.7	1.60324	13.7569
1196.59	290.093	1620.55	1619.86	1619.86	1621.32	1790.41	1619.86	1791.88	0.951651	8.56632
1196.69	289.993	1666.04	1619.82	1619.82	1622.03	1844.78	1619.82	1847	0.991359	9.04812
1196.79	289.893	1658.22	1619.79	1619.8	1623.08	1911.41	1619.79	1914.7	1.40839	12.8242
