C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.03	297.653	1827.6	1827.6	1827.6	1827.6	1827.6	1827.6	1827.6	0	0
1189.13	297.553	1762.92	1762.92	1762.92	1762.92	1762.92	1762.92	1762.92	0	0
1189.23	297.453	1597.72	1597.72	1597.72	1597.72	1597.72	1597.72	1597.72	0	0
1189.33	297.353	2056.76	2056.76	2056.76	2056.76	2056.76	2056.76	2056.76	0	0
1189.43	297.253	1991.38	1991.38	1991.38	1991.38	1991.38	1991.38	1991.38	0	0
1189.53	297.153	1535.84	1535.84	1535.84	1535.84	1535.84	1535.84	1535.84	0	0
1189.63	297.053	1649.54	1649.54	1649.54	1649.54	1649.54	1649.54	1649.54	0	0
1189.73	296.953	1579.55	1579.55	1579.55	1579.55	1579.55	1579.55	1579.55	0	0
1189.83	296.853	1712.94	1712.94	1712.94	1712.94	1712.94	1712.94	1712.94	0	0
1189.93	296.753	1803.24	1803.24	1803.24	1803.24	1803.24	1803.24	1803.24	0	0
1190.03	296.653	1569.96	1569.96	1569.96	1569.96	1569.96	1569.96	1569.96	0	0
1190.13	296.553	1659.56	1659.56	1659.56	1659.56	1659.56	1659.56	1659.56	0	0
1190.23	296.453	1977.96	1977.96	1977.96	1977.96	1977.96	1977.96	1977.96	0	0
1190.33	296.353	1650.04	1650.04	1650.04	1650.04	1650.04	1650.04	1650.04	0	0
1190.43	296.253	1601.12	1601.12	1601.12	1601.12	1601.12	1601.12	1601.12	0	0
1190.53	296.153	1666.37	1666.37	1666.37	1666.37	1666.37	1666.37	1666.37	0	0
1190.63	296.053	1634.77	1634.77	1634.77	1634.77	1634.77	1634.77	1634.77	0	0
1190.73	295.953	1658.64	1658.64	1658.64	1658.64	1658.64	1658.64	1658.64	0	0
1190.83	295.853	1573.69	1573.69	1573.69	1573.69	1573.69	1573.69	1573.69	0	0
1190.93	295.753	1437.32	1437.32	1437.32	1437.32	1437.32	1437.32	1437.32	0	0
1191.03	295.653	1374.86	1374.86	1374.86	1374.86	1374.86	1374.86	1374.86	0	0
1191.13	295.553	1725.69	1725.69	1725.69	1725.69	1725.69	1725.69	1725.69	0	0
1191.23	295.453	1431.69	1431.69	1431.69	1431.69	1431.69	1431.69	1431.69	0	0
1191.33	295.353	1388.89	1388.89	1388.89	1388.89	1388.89	1388.89	1388.89	0	0
1191.43	295.253	1119.2	1119.2	1119.2	1119.2	1119.2	1119.2	1119.2	0	0
1191.53	295.153	1365.1	1365.1	1365.1	1365.1	1365.1	1365.1	1365.1	0	0
1191.63	295.053	1346.78	1346.78	1346.78	1346.78	1346.78	1346.78	1346.78	0	0
