C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.44	297.242	1969.89	1969.89	1969.89	1969.89	1969.89	1969.89	1969.89	0	0
1189.54	297.142	1922.86	1922.86	1922.86	1922.86	1922.86	1922.86	1922.86	0	0
1189.64	297.042	2201.48	2201.48	2201.48	2201.48	2201.48	2201.48	2201.48	0	0
1189.74	296.942	1851.98	1851.98	1851.98	1851.98	1851.98	1851.98	1851.98	0	0
1189.84	296.842	2058.7	2058.7	2058.7	2058.7	2058.7	2058.7	2058.7	0	0
1189.94	296.742	2005.54	2005.54	2005.54	2005.54	2005.54	2005.54	2005.54	0	0
1190.04	296.642	1947.46	1947.46	1947.46	1947.46	1947.46	1947.46	1947.46	0	0
1190.14	296.542	2078.64	2078.64	2078.64	2078.64	2078.64	2078.64	2078.64	0	0
1190.24	296.442	1988.82	1988.82	1988.82	1988.82	1988.82	1988.82	1988.82	0	0
1190.34	296.342	1738.29	1738.29	1738.29	1738.29	1738.29	1738.29	1738.29	0	0
1190.44	296.242	1964.29	1964.29	1964.29	1964.29	1964.29	1964.29	1964.29	0	0
1190.54	296.142	2157	2157	2157	2157	2157	2157	2157	0	0
1190.64	296.042	2155.58	2155.58	2155.58	2155.58	2155.58	2155.58	2155.58	0	0
1190.74	295.942	1776.4	1776.4	1776.4	1776.4	1776.4	1776.4	1776.4	0	0
1190.84	295.842	2040.28	2040.28	2040.28	2040.28	2040.28	2040.28	2040.28	0	0
1190.94	295.742	1997.45	1997.45	1997.45	1997.45	1997.45	1997.45	1997.45	0	0
1191.04	295.642	1943.21	1943.21	1943.21	1943.21	1943.21	1943.21	1943.21	0	0
1191.14	295.542	2062.06	2062.06	2062.06	2062.06	2062.06	2062.06	2062.06	0	0
1191.24	295.442	1735.34	1735.34	1735.34	1735.34	1735.34	1735.34	1735.34	0	0
1191.34	295.342	1668.34	1668.34	1668.34	1668.34	1668.34	1668.34	1668.34	0	0
1191.44	295.242	1786.23	1786.23	1786.23	1786.23	1786.23	1786.23	1786.23	0	0
1191.54	295.142	2017.72	2017.72	2017.72	2017.72	2017.72	2017.72	2017.72	0	0
1191.64	295.042	1710.58	1710.58	1710.58	1710.58	1710.58	1710.58	1710.58	0	0
1191.74	294.942	1964.12	1964.12	1964.12	1964.12	1964.12	1964.12	1964.12	0	0
1191.84	294.842	2006.44	2006.44	2006.44	2006.44	2006.44	2006.44	2006.44	0	0
1191.94	294.742	1767.04	1767.04	1767.04	1767.04	1767.04	1767.04	1767.04	0	0
1192.04	294.642	1885.16	1885.16	1885.16	1885.16	1885.16	1885.16	1885.16	0	0
1192.14	294.542	1852.64	1852.64	1852.64	1852.64	1852.64	1852.64	1852.64	0	0
1192.24	294.442	1957.79	1957.79	1957.79	1957.79	1957.79	1957.79	1957.79	0	0
1192.34	294.342	1304.57	1304.57	1304.57	1304.57	1304.57	1304.57	1304.57	0	0
1192.44	294.242	1750.61	1750.61	1750.61	1750.61	1750.61	1750.61	1750.61	0	0
1192.54	294.142	1781.5	1781.5	1781.5	1781.5	1781.5	1781.5	1781.5	0	0
1192.64	294.042	1698.53	1698.53	1698.53	1698.53	1698.53	1698.53	1698.53	0	0
1192.74	293.942	1755.73	1755.73	1755.73	1755.73	1755.73	1755.73	1755.73	0	0
1192.84	293.842	2177.38	2177.38	2177.38	2177.38	2177.38	2177.38	2177.38	0	0
1192.94	293.742	1754.13	1754.13	1754.13	1754.13	1754.13	1754.13	1754.13	0	0
1193.04	293.642	1707.16	1707.16	1707.16	1707.16	1707.16	1707.16	1707.16	0	0
1193.14	293.542	1579.12	1579.12	1579.12	1579.12	1579.12	1579.12	1579.12	0	0
1193.24	293.442	1334.86	1334.86	1334.86	1334.86	1334.86	1334.86	1334.86	0	0
