C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.23	297.447	2047.72	2047.72	2047.72	2047.72	2047.72	2047.72	2047.72	0	0
1189.33	297.347	1800.34	1800.34	1800.34	1800.34	1800.34	1800.34	1800.34	0	0
1189.43	297.247	1727.97	1727.97	1727.97	1727.97	1727.97	1727.97	1727.97	0	0
1189.53	297.147	2050.36	2050.36	2050.36	2050.36	2050.36	2050.36	2050.36	0	0
1189.63	297.047	1732.76	1732.76	1732.76	1732.76	1732.76	1732.76	1732.76	0	0
1189.73	296.947	1660.17	1660.17	1660.17	1660.17	1660.17	1660.17	1660.17	0	0
1189.83	296.847	1770.52	1770.52	1770.52	1770.52	1770.52	1770.52	1770.52	0	0
1189.93	296.747	1911.13	1911.13	1911.13	1911.13	1911.13	1911.13	1911.13	0	0
1190.03	296.647	2096.72	2096.72	2096.72	2096.72	2096.72	2096.72	2096.72	0	0
1190.13	296.547	1894.86	1894.86	1894.86	1894.86	1894.86	1894.86	1894.86	0	0
1190.23	296.447	1688.4	1688.4	1688.4	1688.4	1688.4	1688.4	1688.4	0	0
1190.33	296.347	1483.55	1483.55	1483.55	1483.55	1483.55	1483.55	1483.55	0	0
1190.43	296.247	1738.39	1738.39	1738.39	1738.39	1738.39	1738.39	1738.39	0	0
1190.53	296.147	1922.48	1922.48	1922.48	1922.48	1922.48	1922.48	1922.48	0	0
1190.63	296.047	1664.63	1664.63	1664.63	1664.63	1664.63	1664.63	1664.63	0	0
1190.73	295.947	1632.48	1632.48	1632.48	1632.48	1632.48	1632.48	1632.48	0	0
1190.83	295.847	1795.33	1795.33	1795.33	1795.33	1795.33	1795.33	1795.33	0	0
1190.93	295.747	1782.89	1782.89	1782.89	1782.89	1782.89	1782.89	1782.89	0	0
1191.03	295.647	2050.38	2050.38	2050.38	2050.38	2050.38	2050.38	2050.38	0	0
1191.13	295.547	1915.4	1915.4	1915.4	1915.4	1915.4	1915.4	1915.4	0	0
1191.23	295.447	1257.35	1257.35	1257.35	1257.35	1257.35	1257.35	1257.35	0	0
1191.33	295.347	2162.06	2162.06	2162.06	2162.06	2162.06	2162.06	2162.06	0	0
1191.43	295.247	1621.89	1621.89	1621.89	1621.89	1621.89	1621.89	1621.89	0	0
1191.53	295.147	1979.51	1979.51	1979.51	1979.51	1979.51	1979.51	1979.51	0	0
1191.63	295.047	1959.66	1959.66	1959.66	1959.66	1959.66	1959.66	1959.66	0	0
1191.73	294.947	1898.7	1898.7	1898.7	1898.7	1898.7	1898.7	1898.7	0	0
1191.83	294.847	1752.67	1752.67	1752.67	1752.67	1752.67	1752.67	1752.67	0	0
1191.93	294.747	1470.78	1470.78	1470.78	1470.78	1470.78	1470.78	1470.78	0	0
1192.03	294.647	1711.38	1711.38	1711.38	1711.38	1711.38	1711.38	1711.38	0	0
1192.13	294.547	1713.62	1713.62	1713.62	1713.62	1713.62	1713.62	1713.62	0	0
1192.23	294.447	1794.62	1794.62	1794.62	1794.62	1794.62	1794.62	1794.62	0	0
1192.33	294.347	1687.32	1687.32	1687.32	1687.32	1687.32	1687.32	1687.32	0	0
1192.43	294.247	1511.8	1511.8	1511.8	1511.8	1511.8	1511.8	1511.8	0	0
1192.53	294.147	1455.79	1455.79	1455.79	1455.79	1455.79	1455.79	1455.79	0	0
1192.63	294.047	1548.86	1548.86	1548.86	1548.86	1548.86	1548.86	1548.86	0	0
1192.73	293.947	1509.68	1509.68	1509.68	1509.68	1509.68	1509.68	1509.68	0	0
1192.83	293.847	1687.62	1687.62	1687.62	1687.62	1687.62	1687.62	1687.62	0	0
1192.93	293.747	1499.68	1499.68	1499.68	1499.68	1499.68	1499.68	1499.68	0	0
1193.03	293.647	1497.63	1497.63	1497.63	1497.63	1497.63	1497.63	1497.63	0	0
1193.13	293.547	1541.07	1541.07	1541.07	1541.07	1541.07	1541.07	1541.07	0	0
1193.23	293.447	1477.46	1477.46	1477.46	1477.46	1477.46	1477.46	1477.46	0	0
1193.33	293.347	1622.36	1622.36	1622.36	1622.36	1622.36	1622.36	1622.36	0	0
1193.43	293.247	1687.15	1687.15	1687.15	1687.15	1687.15	1687.15	1687.15	0	0
1193.53	293.147	1597.46	1597.46	1597.46	1597.46	1597.46	1597.46	1597.46	0	0
1193.63	293.047	1599.38	1599.38	1599.38	1599.38	1599.38	1599.38	1599.38	0	0
1193.73	292.947	1293.76	1293.76	1293.76	1293.76	1293.76	1293.76	1293.76	0	0
1193.83	292.847	1620.25	1620.25	1620.25	1620.25	1620.25	1620.25	1620.25	0	0
1193.93	292.747	1579.65	1579.65	1579.65	1579.65	1579.65	1579.65	1579.65	0	0
1194.03	292.647	1368.73	1368.73	1368.73	1368.73	1368.73	1368.73	1368.73	0	0
1194.13	292.547	1409.52	1409.52	1409.52	1409.52	1409.52	1409.52	1409.52	0	0
1194.23	292.447	1441.81	1441.81	1441.81	1441.81	1441.81	1441.81	1441.81	0	0
1194.33	292.347	1478.19	1478.19	1478.19	1478.19	1478.2	1478.19	1478.2	0	0
1194.43	292.247	1477.78	1477.78	1477.78	1477.78	1477.8	1477.78	1477.8	0	0
1194.53	292.147	1648.24	1648.24	1648.24	1648.24	1648.27	1648.24	1648.27	0	0
1194.63	292.047	1473.16	1473.16	1473.16	1473.16	1473.21	1473.16	1473.21	0	0
1194.73	291.947	1353.82	1353.82	1353.82	1353.82	1353.91	1353.82	1353.91	0	0
1194.83	291.847	1285.09	1285.09	1285.09	1285.09	1285.25	1285.09	1285.25	0	0
1194.93	291.747	1110.66	1110.66	1110.66	1110.66	1110.94	1110.66	1110.94	0	0
1195.03	291.647	1148.14	1148.14	1148.14	1148.14	1148.63	1148.14	1148.63	0	0
1195.13	291.547	1555.96	1555.96	1555.96	1555.96	1556.78	1555.96	1556.78	0	0
1195.23	291.447	1452.28	1452.28	1452.28	1452.28	1453.63	1452.28	1453.63	0	0
1195.33	291.347	1457.19	1457.19	1457.19	1457.19	1459.41	1457.19	1459.41	0	0
1195.43	291.247	1528.83	1528.83	1528.83	1528.83	1532.41	1528.83	1532.41	0	0
1195.53	291.147	1453.92	1453.92	1453.92	1453.93	1459.57	1453.92	1459.57	0	0
1195.63	291.047	1463.75	1477.39	1477.39	1477.39	1486.2	1477.39	1486.21	0.131291	1.12319
1195.73	290.947	1514.51	1477.36	1477.36	1477.38	1490.88	1477.36	1490.9	-0.135708	-1.18094
1195.83	290.847	1508.18	1477.34	1477.34	1477.37	1497.69	1477.34	1497.73	-0.0601854	-0.52264
1195.93	290.747	1550.57	1477.29	1477.29	1477.34	1507.59	1477.29	1507.64	-0.243757	-2.14629
1196.03	290.647	1561.05	1477.23	1477.23	1477.32	1521.51	1477.23	1521.6	-0.223295	-1.97275
1196.13	290.547	1570.79	1477.16	1477.16	1477.31	1540.76	1477.16	1540.91	-0.168576	-1.49397
1196.23	290.447	1370.48	1477.09	1477.09	1477.34	1567.21	1477.09	1567.46	1.1898	9.8491
1196.33	290.347	1160.72	1476.86	1476.86	1477.27	1602.26	1476.86	1602.66	2.90059	22.0971
1196.43	290.247	1654.23	1476.74	1476.74	1477.38	1648.21	1476.74	1648.86	-0.0295392	-0.268647
1196.53	290.147	2003.8	1476.37	1476.37	1477.38	1707.23	1476.37	1708.25	-1.47637	-14.7777
1196.63	290.047	1531.61	1476.33	1476.33	1477.9	1781.35	1476.33	1782.93	1.43594	12.5659
1196.73	289.947	1677.92	1476.19	1476.19	1478.58	1871.94	1476.19	1874.34	1.07221	9.82085
1196.83	289.847	1851.63	1475.92	1475.94	1479.5	1980.16	1475.92	1983.76	0.686617	6.60657
1196.93	289.747	2130.14	1475.46	1475.49	1480.74	2105.07	1475.46	2110.37	-0.0957728	-0.988396
1197.03	289.647	2626.36	1474.65	1474.71	1482.31	2244.97	1474.65	2252.69	-1.63041	-18.6835
1197.13	289.547	2130.38	1474.19	1474.29	1485.12	2396.79	1474.19	2407.81	1.34405	13.8716
1197.23	289.447	2451.56	1473.5	1473.68	1488.84	2553.72	1473.5	2569.24	0.53146	5.88405
1197.33	289.347	2666.64	1472.66	1472.97	1493.87	2707.97	1472.66	2729.49	0.272146	3.14245
1197.43	289.247	3090.1	1471.52	1472.06	1500.29	2849.46	1471.52	2878.76	-0.850105	-10.5668
1197.53	289.147	2779.12	1470.6	1471.51	1509	2968.95	1470.6	3008.26	0.971931	11.4571
1197.63	289.047	3065.9	1469.48	1470.99	1519.83	3055.68	1469.48	3107.55	0.168184	2.08233
1197.73	288.947	3048.16	1468.37	1470.84	1533.13	3102.15	1468.37	3169.38	0.490971	6.06121
1197.83	288.847	3786.88	1466.73	1470.74	1548.5	3104.44	1466.73	3190.22	-2.16806	-29.833
1197.93	288.747	2716.5	1465.85	1472.22	1567.04	3062.11	1465.85	3169.67	1.94419	22.6584
1198.03	288.647	3442.82	1464.46	1474.41	1587.05	2978.38	1464.46	3110.92	-1.26485	-16.5951
1198.13	288.547	3091.2	1463.32	1478.67	1608.65	2861.73	1463.31	3022.42	-0.276612	-3.4389
1198.23	288.447	2931.5	1462.29	1485.54	1630.63	2720.53	1462.28	2912.15	-0.0799086	-0.967439
1198.33	288.347	2836.32	1461.33	1495.98	1651.71	2565.75	1461.31	2790.83	-0.190991	-2.27445
1198.43	288.247	2390.8	1460.69	1511.64	1670.57	2407.25	1460.66	2668.17	1.26844	13.8684
1198.53	288.147	2620.58	1459.9	1533.44	1685.3	2253	1459.84	2552.12	-0.299029	-3.42292
1198.63	288.047	2364.2	1459.33	1563.78	1695.03	2109.6	1459.2	2450.13	0.395152	4.29626
1198.73	287.947	2214.06	1458.91	1605.02	1698.49	1980.85	1458.67	2367.26	0.728019	7.65988
1198.83	287.847	2694.48	1458.27	1658.91	1695.1	1869.2	1457.8	2308.07	-1.66453	-19.3204
1198.93	287.747	2156.58	1458.21	1729.12	1685.83	1775.24	1457.31	2276.46	0.577227	5.99397
1199.03	287.647	2142.2	1458.51	1818.03	1670.84	1697.83	1456.83	2274.72	0.640236	6.62606
1199.13	287.547	2323.36	1459.3	1927.19	1651.52	1636.04	1456.22	2305.39	-0.0833467	-0.898321
1199.23	287.447	2488.5	1461.05	2058.57	1629.24	1587.24	1455.49	2369.63	-0.532838	-5.94359
1199.33	287.347	2216.44	1464.79	2212.46	1605.78	1549.74	1454.96	2467.9	1.19435	12.5732
1199.43	287.247	2847.22	1471.02	2386.01	1581.89	1521.23	1453.97	2598.23	-1.0434	-12.4493
1199.53	287.147	2772.48	1482.02	2576.14	1559.14	1499.92	1453.05	2758.08	-0.061159	-0.720078
1199.63	287.047	3076.94	1500.2	2775.35	1538.09	1484	1451.9	2941.93	-0.544231	-6.75037
1199.73	286.947	2903.34	1529.82	2974.54	1519.47	1472.59	1450.88	3143.78	0.997792	12.0219
1199.83	286.847	3507.02	1575.97	3161.09	1502.96	1463.84	1449.43	3355.56	-0.571899	-7.5731
1199.93	286.747	3853.16	1646.6	3322.12	1488.78	1457.15	1447.74	3571.42	-1.0149	-14.087
1200.03	286.647	3665.18	1752.79	3446.03	1477.05	1452.25	1446.18	3789.58	0.459462	6.21988
1200.13	286.547	3862.36	1907.9	3520.04	1467.3	1448.32	1444.48	4010.12	0.531654	7.38823
1200.23	286.447	4266.02	2128.9	3538.43	1459.09	1444.88	1442.49	4243.84	-0.0759499	-1.10924
1200.33	286.347	4539.84	2436.34	3500.02	1452.17	1441.78	1440.31	4509.38	-0.10108	-1.5229
1200.43	286.247	4266.2	2853.76	3406.24	1446.66	1439.21	1438.32	4830.91	1.93326	28.2355
1200.53	286.147	5537.78	3404.4	3266.27	1441.21	1435.96	1435.43	5241.54	-0.89015	-14.8121
1200.63	286.047	6020.56	4111.65	3091.9	1436.13	1432.51	1432.2	5775.58	-0.705996	-12.2491
1200.73	285.947	6126.26	4993.26	2895.44	1431.53	1429.07	1428.9	6462.61	0.960905	16.8176
1200.83	285.847	7278.66	6055.49	2690.03	1426.52	1424.88	1424.78	7322.58	0.115125	2.19624
1200.93	285.747	8585.12	7288.73	2486.32	1420.86	1419.79	1419.73	8356.5	-0.551734	-11.4311
1201.03	285.647	10063.6	8660.97	2293.56	1414.37	1413.68	1413.65	9541.64	-1.16345	-26.098
1201.13	285.547	10041.3	10114.7	2118.33	1408.02	1407.59	1407.57	10825.9	1.75083	39.2306
1201.23	285.447	12880.5	11561.9	1962.02	1399.77	1399.5	1399.49	12124.7	-1.48902	-37.7878
1201.33	285.347	13543.3	12896.1	1828.15	1391.11	1390.94	1390.94	13333.5	-0.403204	-10.4923
1201.43	285.247	14390	13998.3	1715.14	1381.89	1381.79	1381.79	14331.8	-0.108486	-2.90997
1201.53	285.147	14724.5	14757.8	1621.94	1372.45	1372.39	1372.39	15007.4	0.521326	14.1454
1201.63	285.047	15171.8	15090.7	1546.55	1362.71	1362.67	1362.67	15274.6	0.186678	5.14157
1201.73	284.947	15157.9	14958.2	1485.99	1352.98	1352.96	1352.96	15091.2	-0.121093	-3.33368
1201.83	284.847	14115.7	14374.9	1438.61	1343.98	1343.97	1343.97	14469.6	0.66609	17.6957
1201.93	284.747	13373.9	13404.9	1401.84	1335.5	1335.5	1335.5	13471.2	0.188251	4.868
1202.03	284.647	11462.4	12149.5	1374.04	1328.37	1328.37	1328.37	12195.1	1.53045	36.6388
1202.13	284.547	10624	10725.7	1352.77	1321.82	1321.82	1321.82	10756.6	0.287678	6.63034
1202.23	284.447	9906.14	9248.6	1336.45	1315.78	1315.77	1315.77	9269.28	-1.4308	-31.8431
1202.33	284.347	8022	7816.85	1324.62	1311.05	1311.05	1311.05	7830.41	-0.478314	-9.57942
1202.43	284.247	6508.2	6502.72	1316.16	1307.39	1307.39	1307.39	6511.49	0.00910863	0.164312
1202.53	284.147	5564.04	5349.78	1309.98	1304.39	1304.39	1304.39	5355.37	-0.625532	-10.4335
1202.63	284.047	4526.62	4377.17	1305.62	1302.12	1302.12	1302.12	4380.67	-0.485078	-7.29766
1202.73	283.947	3806.8	3584.53	1302.51	1300.36	1300.36	1300.36	3586.68	-0.797742	-11.006
1202.83	283.847	3211.54	2958.42	1300.32	1299.02	1299.02	1299.02	2959.72	-0.993599	-12.5908
1202.93	283.747	2812.96	2477.77	1298.73	1297.95	1297.95	1297.95	2478.55	-1.40987	-16.7204
1203.03	283.647	2803.96	2118.3	1297.35	1296.89	1296.89	1296.89	2118.76	-2.89347	-34.2602
1203.13	283.547	2145.24	1856.51	1296.56	1296.29	1296.29	1296.29	1856.78	-1.39264	-14.4232
1203.23	283.447	2232.46	1670.04	1295.78	1295.63	1295.63	1295.63	1670.19	-2.66094	-28.1133
1203.33	283.347	1942.49	1540.44	1295.26	1295.18	1295.18	1295.18	1540.53	-2.03936	-20.0983
1203.43	283.247	1600.19	1452.46	1295.01	1294.96	1294.96	1294.96	1452.51	-0.825511	-7.38404
1203.53	283.147	1780.18	1393.78	1294.64	1294.62	1294.62	1294.62	1393.81	-2.04765	-19.3184
1203.63	283.047	1719.01	1355.54	1294.33	1294.32	1294.32	1294.32	1355.55	-1.9602	-18.1729
1203.73	282.947	1486	1331.24	1294.19	1294.19	1294.19	1294.19	1331.25	-0.897661	-7.73761
1203.83	282.847	1623.78	1315.95	1293.96	1293.95	1293.95	1293.95	1315.95	-1.70817	-15.3915
1203.93	282.747	1565.36	1306.56	1293.76	1293.76	1293.76	1293.76	1306.56	-1.46266	-12.94
1204.03	282.647	1375.84	1301.01	1293.71	1293.7	1293.7	1293.7	1301.01	-0.451108	-3.74153
1204.13	282.547	1640.26	1297.55	1293.46	1293.46	1293.46	1293.46	1297.55	-1.89216	-17.1356
1204.23	282.447	1636.37	1295.46	1293.22	1293.22	1293.22	1293.22	1295.46	-1.88445	-17.0456
1204.33	282.347	1158	1294.33	1293.12	1293.12	1293.12	1293.12	1294.33	0.895806	6.81638
1204.43	282.247	1509.14	1293.61	1292.97	1292.97	1292.97	1292.97	1293.61	-1.2406	-10.7766
1204.53	282.147	1068.18	1293.14	1292.81	1292.81	1292.81	1292.81	1293.14	1.5391	11.248
1204.63	282.047	1403.08	1292.9	1292.74	1292.74	1292.74	1292.74	1292.9	-0.657713	-5.50887
1204.73	281.947	1470.88	1292.69	1292.61	1292.61	1292.61	1292.61	1292.69	-1.03887	-8.90913
1204.83	281.847	1259.89	1292.63	1292.59	1292.59	1292.59	1292.59	1292.63	0.206213	1.6367
1204.93	281.747	1403.03	1292.53	1292.51	1292.51	1292.51	1292.51	1292.53	-0.659632	-5.52484
1205.03	281.647	1258.17	1292.49	1292.49	1292.49	1292.49	1292.49	1292.49	0.216383	1.71624
1205.13	281.547	1484.67	1292.35	1292.35	1292.35	1292.35	1292.35	1292.35	-1.11607	-9.61597
1205.23	281.447	1273.91	1292.34	1292.34	1292.34	1292.34	1292.34	1292.34	0.115471	0.921568
1205.33	281.347	1255.99	1292.31	1292.31	1292.31	1292.31	1292.31	1292.31	0.229164	1.81604
1205.43	281.247	1156.58	1292.22	1292.22	1292.22	1292.22	1292.22	1292.22	0.891815	6.78184
1205.53	281.147	1029.91	1292.03	1292.03	1292.03	1292.03	1292.03	1292.03	1.82637	13.1061
1205.63	281.047	1285.71	1292.03	1292.03	1292.03	1292.03	1292.03	1292.03	0.0393849	0.315782
1205.73	280.947	1493.01	1291.89	1291.89	1291.89	1291.89	1291.89	1291.89	-1.16393	-10.0564
1205.83	280.847	1343.44	1291.85	1291.85	1291.85	1291.85	1291.85	1291.85	-0.314746	-2.57961
1205.93	280.747	1288.44	1291.85	1291.85	1291.85	1291.85	1291.85	1291.85	0.021201	0.170167
1206.03	280.647	1243.66	1243.66	1243.66	1243.66	1243.66	1243.66	1243.66	0	0
1206.13	280.547	1211.46	1211.46	1211.46	1211.46	1211.46	1211.46	1211.46	0	0
1206.23	280.447	1167.4	1167.4	1167.4	1167.4	1167.4	1167.4	1167.4	0	0
1206.33	280.347	1239.94	1239.94	1239.94	1239.94	1239.94	1239.94	1239.94	0	0
1206.43	280.247	1099.13	1099.13	1099.13	1099.13	1099.13	1099.13	1099.13	0	0
1206.53	280.147	1398.03	1398.03	1398.03	1398.03	1398.03	1398.03	1398.03	0	0
1206.63	280.047	1321.08	1321.08	1321.08	1321.08	1321.08	1321.08	1321.08	0	0
1206.73	279.947	1372.69	1372.69	1372.69	1372.69	1372.69	1372.69	1372.69	0	0
1206.83	279.847	1376.03	1376.03	1376.03	1376.03	1376.03	1376.03	1376.03	0	0
1206.93	279.747	1578.57	1578.57	1578.57	1578.57	1578.57	1578.57	1578.57	0	0
1207.03	279.647	1133.15	1133.15	1133.15	1133.15	1133.15	1133.15	1133.15	0	0
1207.13	279.547	1392.39	1392.39	1392.39	1392.39	1392.39	1392.39	1392.39	0	0
1207.23	279.447	1172.35	1172.35	1172.35	1172.35	1172.35	1172.35	1172.35	0	0
1207.33	279.347	1537.56	1537.56	1537.56	1537.56	1537.56	1537.56	1537.56	0	0
1207.43	279.247	1218.71	1218.71	1218.71	1218.71	1218.71	1218.71	1218.71	0	0
1207.53	279.147	1386.28	1386.28	1386.28	1386.28	1386.28	1386.28	1386.28	0	0
1207.63	279.047	1037.72	1037.72	1037.72	1037.72	1037.72	1037.72	1037.72	0	0
1207.73	278.947	1138.05	1138.05	1138.05	1138.05	1138.05	1138.05	1138.05	0	0
1207.83	278.847	1125.41	1125.41	1125.41	1125.41	1125.41	1125.41	1125.41	0	0
1207.93	278.747	1109.23	1109.23	1109.23	1109.23	1109.23	1109.23	1109.23	0	0
1208.03	278.647	1182.72	1182.72	1182.72	1182.72	1182.72	1182.72	1182.72	0	0
1208.13	278.547	1103.8	1103.8	1103.8	1103.8	1103.8	1103.8	1103.8	0	0
1208.23	278.447	1210.53	1210.53	1210.53	1210.53	1210.53	1210.53	1210.53	0	0
