C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.18	297.501	1725.19	1725.19	1725.19	1725.19	1725.19	1725.19	1725.19	0	0
1189.28	297.401	1659.66	1659.66	1659.66	1659.66	1659.66	1659.66	1659.66	0	0
1189.38	297.301	1943.27	1943.27	1943.27	1943.27	1943.27	1943.27	1943.27	0	0
1189.48	297.201	1652.88	1652.88	1652.88	1652.88	1652.88	1652.88	1652.88	0	0
1189.58	297.101	1862.95	1862.95	1862.95	1862.95	1862.95	1862.95	1862.95	0	0
1189.68	297.001	1595.1	1595.1	1595.1	1595.1	1595.1	1595.1	1595.1	0	0
1189.78	296.901	1482.18	1482.18	1482.18	1482.18	1482.18	1482.18	1482.18	0	0
1189.88	296.801	1663.83	1663.83	1663.83	1663.83	1663.83	1663.83	1663.83	0	0
1189.98	296.701	1493.3	1493.3	1493.3	1493.3	1493.3	1493.3	1493.3	0	0
1190.08	296.601	1521.65	1521.65	1521.65	1521.65	1521.65	1521.65	1521.65	0	0
1190.18	296.501	1642.56	1642.56	1642.56	1642.56	1642.56	1642.56	1642.56	0	0
1190.28	296.401	1474.05	1474.05	1474.05	1474.05	1474.05	1474.05	1474.05	0	0
1190.38	296.301	1677.15	1677.15	1677.15	1677.15	1677.15	1677.15	1677.15	0	0
1190.48	296.201	1569.02	1569.02	1569.02	1569.02	1569.02	1569.02	1569.02	0	0
1190.58	296.101	1476.28	1476.28	1476.28	1476.28	1476.28	1476.28	1476.28	0	0
1190.68	296.001	1643.67	1643.67	1643.67	1643.67	1643.67	1643.67	1643.67	0	0
1190.78	295.901	1631.38	1631.38	1631.38	1631.38	1631.38	1631.38	1631.38	0	0
1190.88	295.801	1441.56	1441.56	1441.56	1441.56	1441.56	1441.56	1441.56	0	0
1190.98	295.701	1545.07	1545.07	1545.07	1545.07	1545.07	1545.07	1545.07	0	0
1191.08	295.601	1891.94	1891.94	1891.94	1891.94	1891.94	1891.94	1891.94	0	0
1191.18	295.501	1589.55	1589.55	1589.55	1589.55	1589.55	1589.55	1589.55	0	0
1191.28	295.401	1435.59	1435.59	1435.59	1435.59	1435.59	1435.59	1435.59	0	0
1191.38	295.301	1545.24	1545.24	1545.24	1545.24	1545.24	1545.24	1545.24	0	0
1191.48	295.201	1652.33	1652.33	1652.33	1652.33	1652.33	1652.33	1652.33	0	0
1191.58	295.101	1502.23	1502.23	1502.23	1502.23	1502.23	1502.23	1502.23	0	0
1191.68	295.001	1478.14	1478.14	1478.14	1478.14	1478.14	1478.14	1478.14	0	0
1191.78	294.901	1301.43	1301.43	1301.43	1301.43	1301.43	1301.43	1301.43	0	0
1191.88	294.801	1584	1584	1584	1584	1584	1584	1584	0	0
1191.98	294.701	1855.18	1855.18	1855.18	1855.18	1855.18	1855.18	1855.18	0	0
1192.08	294.601	1317.94	1317.94	1317.94	1317.94	1317.94	1317.94	1317.94	0	0
1192.18	294.501	1428.67	1428.67	1428.67	1428.67	1428.67	1428.67	1428.67	0	0
1192.28	294.401	1458.05	1458.05	1458.05	1458.05	1458.05	1458.05	1458.05	0	0
1192.38	294.301	1475.9	1475.9	1475.9	1475.9	1475.9	1475.9	1475.9	0	0
1192.48	294.201	1370.56	1370.56	1370.56	1370.56	1370.56	1370.56	1370.56	0	0
1192.58	294.101	1303.25	1303.25	1303.25	1303.25	1303.25	1303.25	1303.25	0	0
1192.68	294.001	1061.54	1061.54	1061.54	1061.54	1061.54	1061.54	1061.54	0	0
1192.78	293.901	1549.48	1549.48	1549.48	1549.48	1549.48	1549.48	1549.48	0	0
1192.88	293.801	1383.54	1383.54	1383.54	1383.54	1383.54	1383.54	1383.54	0	0
1192.98	293.701	1430.07	1430.07	1430.07	1430.07	1430.07	1430.07	1430.07	0	0
1193.08	293.601	1342.66	1342.66	1342.66	1342.66	1342.66	1342.66	1342.66	0	0
1193.18	293.501	1131.69	1131.69	1131.69	1131.69	1131.69	1131.69	1131.69	0	0
1193.28	293.401	1591.11	1591.11	1591.11	1591.11	1591.11	1591.11	1591.11	0	0
1193.38	293.301	1212.98	1212.98	1212.98	1212.98	1212.98	1212.98	1212.98	0	0
1193.48	293.201	1449.73	1449.73	1449.73	1449.73	1449.73	1449.73	1449.73	0	0
1193.58	293.101	1520.01	1520.01	1520.01	1520.01	1520.01	1520.01	1520.01	0	0
1193.68	293.001	1237.63	1237.63	1237.63	1237.63	1237.63	1237.63	1237.63	0	0
1193.78	292.901	1555.2	1555.2	1555.2	1555.2	1555.2	1555.2	1555.2	0	0
1193.88	292.801	1369.5	1369.5	1369.5	1369.5	1369.5	1369.5	1369.5	0	0
1193.98	292.701	1491.95	1491.95	1491.95	1491.95	1491.95	1491.95	1491.95	0	0
1194.08	292.601	1114.6	1114.6	1114.6	1114.6	1114.6	1114.6	1114.6	0	0
1194.18	292.501	1261.53	1261.53	1261.53	1261.53	1261.53	1261.53	1261.53	0	0
1194.28	292.401	1164.19	1189.02	1189.02	1189.02	1189.02	1189.02	1189.02	0.162712	1.24141
1194.38	292.301	1141.33	1189.01	1189.01	1189.01	1189.02	1189.01	1189.02	0.315632	2.38436
1194.48	292.201	1198.89	1189.01	1189.01	1189.01	1189.02	1189.01	1189.02	-0.063779	-0.493802
1194.58	292.101	1409.37	1189.01	1189.01	1189.01	1189.01	1189.01	1189.01	-1.31249	-11.0178
1194.68	292.001	1383.89	1189	1189	1189	1189.01	1189	1189.01	-1.17139	-9.74398
1194.78	291.901	1413.5	1188.99	1188.99	1188.99	1189.01	1188.99	1189.01	-1.33519	-11.2247
1194.88	291.801	1457.98	1188.98	1188.98	1188.98	1189.02	1188.98	1189.02	-1.57507	-13.4481
1194.98	291.701	1147.95	1188.98	1188.98	1188.98	1189.05	1188.98	1189.05	0.271222	2.05481
1195.08	291.601	1033.63	1188.97	1188.97	1188.97	1189.11	1188.97	1189.11	1.08139	7.77405
1195.18	291.501	1633.63	1188.96	1188.96	1188.96	1189.2	1188.96	1189.2	-2.45872	-22.2214
1195.28	291.401	1143.15	1188.96	1188.96	1188.96	1189.4	1188.96	1189.4	0.305907	2.31273
1195.38	291.301	957.55	1188.95	1188.95	1188.95	1189.74	1188.95	1189.74	1.67781	11.6094
1195.48	291.201	1414.14	1188.94	1188.94	1188.94	1190.32	1188.94	1190.32	-1.33093	-11.1914
1195.58	291.101	1234.79	1188.94	1188.94	1188.94	1191.29	1188.94	1191.29	-0.276797	-2.17492
1195.68	291.001	1091.69	1188.94	1188.94	1188.94	1192.88	1188.94	1192.88	0.684816	5.05951
1195.78	290.901	1099.12	1188.93	1188.93	1188.93	1195.42	1188.93	1195.42	0.649481	4.81476
1195.88	290.801	1173.04	1188.93	1188.93	1188.94	1199.4	1188.93	1199.4	0.172084	1.3179
1195.98	290.701	1190.36	1188.93	1188.93	1188.94	1205.5	1188.93	1205.51	0.0981587	0.757276
1196.08	290.601	1390.54	1188.92	1188.92	1188.94	1214.68	1188.92	1214.69	-1.05448	-8.79259
1196.18	290.501	1013.31	1188.92	1188.92	1188.94	1228.2	1188.92	1228.22	1.50968	10.7459
1196.28	290.401	1045.16	1188.91	1188.91	1188.96	1247.65	1188.91	1247.7	1.40087	10.1269
1196.38	290.301	1295.71	1188.91	1188.91	1189	1275.01	1188.91	1275.09	-0.128073	-1.03085
1196.48	290.201	1292.18	1188.91	1188.91	1189.06	1312.58	1188.91	1312.74	0.127911	1.02814
1196.58	290.101	1200.83	1188.91	1188.91	1189.18	1362.95	1188.91	1363.22	1.04786	8.11952
1196.68	290.001	1513.7	1188.89	1188.9	1189.36	1428.72	1188.89	1429.19	-0.485691	-4.22538
1196.78	289.901	1402.6	1188.89	1188.89	1189.68	1512.28	1188.89	1513.08	0.659605	5.52378
1196.88	289.801	1781.06	1188.87	1188.87	1190.19	1615.29	1188.87	1616.62	-0.871295	-8.22223
1196.98	289.701	2044	1188.83	1188.85	1190.99	1738.15	1188.83	1740.32	-1.50199	-15.1842
1197.08	289.601	1808.97	1188.81	1188.84	1192.26	1879.38	1188.81	1882.85	0.388433	3.69417
1197.18	289.501	1921.54	1188.79	1188.84	1194.19	2034.94	1188.79	2040.4	0.606281	5.9427
1197.28	289.401	2180.84	1188.75	1188.84	1197.07	2197.9	1188.75	2206.31	0.121958	1.27352
1197.38	289.301	2143.24	1188.72	1188.89	1201.27	2358.41	1188.72	2371.14	1.10075	11.3949
1197.48	289.201	2874.14	1188.66	1188.98	1207.22	2504.19	1188.66	2523.07	-1.46426	-17.5533
1197.58	289.101	2309.72	1188.62	1189.2	1215.54	2622.38	1188.62	2649.88	1.58268	17.0082
1197.68	289.001	2718.54	1188.56	1189.58	1226.84	2701.21	1188.56	2740.5	0.094194	1.09819
1197.78	288.901	2765.92	1188.51	1190.27	1241.79	2732.26	1188.51	2787.31	0.0909323	1.06936
1197.88	288.801	2927.98	1188.45	1191.44	1261.09	2712.06	1188.45	2787.7	-0.579675	-7.0138
1197.98	288.701	2755.8	1188.39	1193.38	1285.31	2642.91	1188.39	2744.82	-0.0467861	-0.549194
1198.08	288.601	2855.54	1188.33	1196.48	1314.7	2532.29	1188.33	2666.81	-0.789734	-9.43648
1198.18	288.501	2544.44	1188.28	1201.35	1349.14	2391.42	1188.28	2565.36	0.0927227	1.04584
1198.28	288.401	2548.5	1188.24	1208.77	1387.93	2233.11	1188.23	2453.36	-0.421429	-4.75721
1198.38	288.301	2125.24	1188.21	1219.87	1429.64	2069.76	1188.2	2342.88	1.05563	10.8818
1198.48	288.201	2198.58	1188.19	1236.05	1472.05	1911.77	1188.16	2243.56	0.214525	2.24923
1198.58	288.101	2119.66	1188.18	1259.22	1512.28	1766.79	1188.13	2162.08	0.206031	2.12105
1198.68	288.001	2242.8	1188.2	1291.53	1547.04	1639.49	1188.09	2101.98	-0.664905	-7.04109
1198.78	287.901	1890.99	1188.28	1335.53	1573.05	1532.13	1188.07	2064.78	0.893627	8.68932
1198.88	287.801	2011.18	1188.46	1393.94	1587.59	1444.45	1188.04	2050.32	0.195162	1.95706
1198.98	287.701	2297.82	1188.81	1469.45	1589.06	1374.98	1188	2058.3	-1.11729	-11.976
1199.08	287.601	2095.02	1189.49	1564.33	1577.29	1321.48	1187.97	2088.69	-0.0309376	-0.31664
1199.18	287.501	1923.74	1190.74	1679.91	1553.57	1281.33	1187.94	2141.72	1.11129	10.899
1199.28	287.401	2066.7	1192.97	1815.9	1520.33	1251.93	1187.91	2217.4	0.741236	7.53495
1199.38	287.301	2780.72	1196.83	1969.77	1480.87	1230.88	1187.85	2314.78	-1.97576	-23.2969
1199.48	287.201	2292.24	1203.42	2136.21	1438.58	1216.16	1187.81	2430.93	0.647733	6.93443
1199.58	287.101	2731.32	1214.38	2306.77	1396.41	1206.08	1187.76	2560.35	-0.731504	-8.54847
1199.68	287.001	2658.04	1232.21	2470.18	1356.75	1199.31	1187.71	2695.33	0.161751	1.86471
1199.78	286.901	2637.76	1260.61	2613.32	1321.19	1194.87	1187.66	2827.02	0.823987	9.46287
1199.88	286.801	2790.76	1304.86	2722.56	1290.56	1192	1187.6	2947.18	0.662109	7.82124
1199.98	286.701	3545.52	1372.31	2786.67	1265.1	1190.14	1187.52	3051.68	-1.85451	-24.6919
1200.08	286.601	2698.66	1472.96	2798.79	1244.64	1189.01	1187.46	3143.01	1.91266	22.2176
1200.18	286.501	3114.22	1619.75	2757.55	1228.63	1188.28	1187.39	3232.03	0.472074	5.89073
1200.28	286.401	3311.98	1829	2667.55	1216.45	1187.82	1187.32	3338.87	0.10447	1.34437
1200.38	286.301	3747.18	2120.32	2538.36	1207.38	1187.51	1187.23	3491.89	-0.932524	-12.7643
1200.48	286.201	4086.72	2516.06	2382.6	1200.79	1187.28	1187.12	3725.36	-1.26396	-18.0679
1200.58	286.101	4135.02	3039.95	2213.71	1196.12	1187.1	1187.02	4075.83	-0.205835	-2.95967
1200.68	286.001	4439.96	3714.62	2044	1192.84	1186.95	1186.9	4577.71	0.462255	6.88741
1200.78	285.901	4928.72	4558.04	1883.29	1190.57	1186.79	1186.77	5258.39	1.05002	16.4835
1200.88	285.801	5930.44	5578.57	1738.35	1188.99	1186.61	1186.6	6132.72	0.587336	10.1138
1200.98	285.701	6988.88	6769.23	1612.95	1187.87	1186.4	1186.39	7197.26	0.557373	10.4192
1201.08	285.601	9030.06	8101.8	1508.3	1187.01	1186.12	1186.12	8424.88	-1.42404	-30.2588
1201.18	285.501	9722.84	9522.45	1423.86	1186.34	1185.81	1185.81	9761.02	0.0865791	1.90895
1201.28	285.401	11203.7	10950.3	1357.65	1185.76	1185.46	1185.46	11122.8	-0.170909	-4.04512
1201.38	285.301	12357.2	12281.8	1307.06	1185.23	1185.06	1185.06	12404	0.0940425	2.3376
1201.48	285.201	13258.8	13401.3	1269.32	1184.73	1184.63	1184.63	13486.1	0.441533	11.3684
1201.58	285.101	14489.9	14197.7	1241.78	1184.21	1184.16	1184.16	14255.3	-0.435673	-11.7268
1201.68	285.001	14844.1	14582.9	1222.11	1183.7	1183.67	1183.67	14621.3	-0.40886	-11.1387
1201.78	284.901	14507.2	14514.6	1208.34	1183.21	1183.2	1183.2	14539.8	0.0605581	1.63098
1201.88	284.801	13793	14001	1198.88	1182.76	1182.75	1182.75	14017.1	0.426784	11.2078
1201.98	284.701	13358.7	13099.8	1192.47	1182.32	1182.32	1182.32	13110	-0.481156	-12.4352
1202.08	284.601	11088.9	11906.5	1188.23	1181.97	1181.96	1181.96	11912.8	1.74951	41.1951
1202.18	284.501	10750.3	10535.2	1185.41	1181.62	1181.62	1181.62	10539	-0.455762	-10.5666
1202.28	284.401	8814.04	9099.42	1183.6	1181.35	1181.35	1181.35	9101.68	0.685079	14.3818
1202.38	284.301	7636.96	7696.96	1182.43	1181.12	1181.12	1181.12	7698.27	0.156868	3.06534
1202.48	284.201	6869.26	6400.95	1181.67	1180.92	1180.92	1180.92	6401.7	-1.26145	-23.3782
1202.58	284.101	5603.78	5257.57	1181.18	1180.76	1180.76	1180.76	5257.99	-1.0329	-17.2895
1202.68	284.001	4318.74	4288.33	1180.88	1180.65	1180.65	1180.65	4288.56	-0.102691	-1.50902
1202.78	283.901	3592.8	3495.12	1180.69	1180.57	1180.57	1180.57	3495.24	-0.36393	-4.87775
1202.88	283.801	2846.9	2866.23	1180.57	1180.51	1180.51	1180.51	2866.3	0.0812942	0.969908
1202.98	283.701	2577.12	2381.88	1180.49	1180.46	1180.46	1180.46	2381.91	-0.859823	-9.76026
1203.08	283.601	2415.82	2018.78	1180.43	1180.41	1180.41	1180.41	2018.8	-1.8062	-19.8511
1203.18	283.501	1927.63	1753.43	1180.4	1180.39	1180.39	1180.39	1753.44	-0.887157	-8.70959
1203.28	283.401	1500.28	1564.17	1180.38	1180.38	1180.38	1180.38	1564.17	0.368848	3.19462
1203.38	283.301	1250	1432.3	1180.38	1180.37	1180.37	1180.37	1432.3	1.15299	9.11516
1203.48	283.201	2036.98	1342.44	1180.34	1180.34	1180.34	1180.34	1342.44	-3.44103	-34.727
1203.58	283.101	1325.06	1282.59	1180.34	1180.34	1180.34	1180.34	1282.59	-0.260916	-2.12375
1203.68	283.001	1294.2	1243.57	1180.33	1180.33	1180.33	1180.33	1243.57	-0.314688	-2.53143
1203.78	282.901	1632	1218.66	1180.32	1180.32	1180.32	1180.32	1218.66	-2.28785	-20.6667
1203.88	282.801	1183.59	1203.12	1180.32	1180.32	1180.32	1180.32	1203.12	0.126881	0.976071
1203.98	282.701	1002.82	1193.6	1180.31	1180.31	1180.31	1180.31	1193.6	1.34716	9.53926
1204.08	282.601	1211.32	1187.92	1180.31	1180.31	1180.31	1180.31	1187.92	-0.150379	-1.17031
1204.18	282.501	1442.52	1184.57	1180.3	1180.3	1180.3	1180.3	1184.57	-1.51863	-12.8973
1204.28	282.401	1360.17	1182.64	1180.29	1180.29	1180.29	1180.29	1182.64	-1.07634	-8.87629
1204.38	282.301	1255.37	1181.56	1180.29	1180.29	1180.29	1180.29	1181.56	-0.465843	-3.69072
1204.48	282.201	1371.01	1180.96	1180.28	1180.28	1180.28	1180.28	1180.96	-1.14771	-9.50252
1204.58	282.101	1067.71	1180.63	1180.28	1180.28	1180.28	1180.28	1180.63	0.772738	5.64604
1204.68	282.001	1522.43	1180.45	1180.27	1180.27	1180.27	1180.27	1180.45	-1.95987	-17.0994
1204.78	281.901	1205.28	1180.36	1180.27	1180.27	1180.27	1180.27	1180.36	-0.160519	-1.24611
1204.88	281.801	940.13	1180.3	1180.26	1180.26	1180.26	1180.26	1180.3	1.75151	12.0086
1204.98	281.701	1266.12	1180.28	1180.26	1180.26	1180.26	1180.26	1180.28	-0.539429	-4.29196
1205.08	281.601	1239.95	1180.26	1180.25	1180.25	1180.25	1180.25	1180.26	-0.379029	-2.98442
1205.18	281.501	1129.42	1180.26	1180.25	1180.25	1180.25	1180.25	1180.26	0.33826	2.54193
1205.28	281.401	1043.56	1180.25	1180.25	1180.25	1180.25	1180.25	1180.25	0.946166	6.83456
1205.38	281.301	940.286	1180.24	1180.24	1180.24	1180.24	1180.24	1180.24	1.74978	11.9977
1205.48	281.201	1351.31	1180.23	1180.23	1180.23	1180.23	1180.23	1180.23	-1.04066	-8.55405
1205.58	281.101	1249.1	1249.1	1249.1	1249.1	1249.1	1249.1	1249.1	0	0
1205.68	281.001	1405.27	1405.27	1405.27	1405.27	1405.27	1405.27	1405.27	0	0
1205.78	280.901	1318.45	1318.45	1318.45	1318.45	1318.45	1318.45	1318.45	0	0
1205.88	280.801	1025.54	1025.54	1025.54	1025.54	1025.54	1025.54	1025.54	0	0
1205.98	280.701	1059.02	1059.02	1059.02	1059.02	1059.02	1059.02	1059.02	0	0
1206.08	280.601	1077.44	1077.44	1077.44	1077.44	1077.44	1077.44	1077.44	0	0
1206.18	280.501	1150.46	1150.46	1150.46	1150.46	1150.46	1150.46	1150.46	0	0
1206.28	280.401	1176.33	1176.33	1176.33	1176.33	1176.33	1176.33	1176.33	0	0
1206.38	280.301	706.406	706.406	706.406	706.406	706.406	706.406	706.406	0	0
1206.48	280.201	1011.83	1011.83	1011.83	1011.83	1011.83	1011.83	1011.83	0	0
1206.58	280.101	1241.37	1241.37	1241.37	1241.37	1241.37	1241.37	1241.37	0	0
1206.68	280.001	1121.53	1121.53	1121.53	1121.53	1121.53	1121.53	1121.53	0	0
1206.78	279.901	1196.01	1196.01	1196.01	1196.01	1196.01	1196.01	1196.01	0	0
1206.88	279.801	1043.2	1043.2	1043.2	1043.2	1043.2	1043.2	1043.2	0	0
1206.98	279.701	1144.55	1144.55	1144.55	1144.55	1144.55	1144.55	1144.55	0	0
1207.08	279.601	1063.08	1063.08	1063.08	1063.08	1063.08	1063.08	1063.08	0	0
1207.18	279.501	1218.04	1218.04	1218.04	1218.04	1218.04	1218.04	1218.04	0	0
1207.28	279.401	1176.46	1176.46	1176.46	1176.46	1176.46	1176.46	1176.46	0	0
