Microbe ID,No Plastic,,,,,,,,,PET Wells,,,,,,,,,PET Films,,,,,,,,,PP Wells,,,,,,,,,PP Films,,,,,,,,
9.2,0.04795515,0.0579711,0.04795515,0.03468093,0.03468093,0.02504734,0.0301977,0.03803749,0.03193987,0.04158136,0.04431299,0.0379392,0.05587482,0.07032521,0.09537255,0.0789786,0.08768947,0.08768947,0.02920143,0.02741359,0.01847437,0.08448928,0.10529634,0.08259773,0.03249715,0.03762828,0.01197263,0.04006379,0.04552704,0.05463245,0.07032521,0.09055575,0.07032521,0.10598231,0.07984969,0.08768947,0.02085816,0.02443385,0.01549464,0.02648172,0.01513241,0.04918033,0.03876853,0.0336374,0.05929304
KMM 185,0.10598231,0.11904862,0.14692342,0.1108901,0.06297083,0.05375559,0.08561169,0.047180165,0.06592725,0.17915366,0.17392714,0.17566931,0.04546187,0.0353251,0.02426681,0.038431525,0.031870045,0.040306233,0.24116306,0.16077537,0.09578107,0.12665862,0.11037394,0.039807,0.004294479,0.00797546,0.009815951,0.1765404,0.21573933,0.17131387,0.08478024,0.08570177,0.05713451,0.050929582,0.078112856,0.044368102,0.14139111,0.07810718,0.0986317,0.2026538,0.19541616,0.17370326,0.124539877,0.152147239,0.137423313
KMM 191,0.05683818,0.09151911,0.09440919,0.09184023,0.08468385,0.09452387,0.05706056,0.05341839,0.05615002,0.07225193,0.08670231,0.07032521,0.07633474,0.08438567,0.08438567,0.06161326,0.06525542,0.06525542,0.05989912,0.06557377,0.12988651,0.04742389,0.01580796,0.03688525,0.01489869,0.00953516,0.00417163,0.07610536,0.07899544,0.08766567,0.08677113,0.08050929,0.07066927,0.06829056,0.06282731,0.05827461,-0.0189155,0.12862547,0.0037831,0.05035129,0.04683841,0.03981265,0.02979738,0.02622169,0.01728248
KMM 193,0.07636534,0.0580725,0.06852555,0.04264011,0.05516377,0.0444292,0.00607027,0.00698081,0.00607027,0.07723642,0.06329902,0.05720141,0.02266187,0.02266187,0.01997823,0.01426514,0.01881784,0.03065487,0.1009122,0.12827822,0.17103763,0.03161593,0.02810304,0.06498829,0.00238379,0.02562574,0.13647199,0.0720099,0.06678337,0.13298602,0.06172379,0.05098922,0.04114919,0.02094244,0.01912136,0.01365811,0.01311288,0.02166477,0.02850627,0.02400468,0.00468384,0.029274,0.0011919,0.00297974,0.01013111
KMM 195,0.03082749,0.03949772,0.03371757,0.07126563,0.07394928,0.07931656,0.0333865,0.02246001,0.03520758,0.04624123,0.05202139,0.04046108,0.05754923,0.06560016,0.06738926,0.0625238,0.02974433,0.02154947,0.0258512,0.13934426,0.04287516,0.24238876,0.03161593,0.12822014,0.03098927,0.00953516,0.00417163,0.04720459,0.04431452,0.02986413,0.08229839,0.0563565,0.08856022,0.04734812,0.03460055,0.03095839,0.0037831,0.03783102,-0.0018916,0.03805621,0.06088993,0.02400468,0.07806913,0.12991657,0.01370679
KMM 197,0.07128857,0.09440919,0.08862903,0.11897733,0.3101909,0.33204388,0.1219484,0.11734077,0.10443943,0.09633591,0.07514201,0.1059695,0.07345029,0.06616596,0.08164516,0.0731076,0.0841659,0.16065242,0.09962169,0.09394704,0.16204288,0.02562574,0.01668653,0.02026222,0.13389626,0.13208685,0.07237636,0.11945652,0.09537255,0.07899544,0.07739597,0.08285921,0.08285921,0.08662329,0.07095738,0.16403134,-0.017024,-0.0037831,0.04918033,0.01728248,0.05303933,0.01370679,0.05971049,0.05247286,0.04161641
KMM 200,0.0423878,0.03371757,0.0423878,0.06142561,0.05605832,0.03816737,0.27194818,0.19091005,0.28742738,0.00770687,0.01445039,0.02215726,0.01640004,0.02534552,0.01997823,0.03520758,0.02701271,0.02337055,0.13745271,0.11286255,0.1223203,0.09309133,0.06147541,0.04039813,0.06853397,0.08462455,0.0738975,0.02408398,0.02697405,0.02986413,0.03130917,0.0393601,0.03399281,0.02822676,0.02822676,0.03277947,0.09457755,0.00945776,,0.08548009,0.05035129,0.0204918,0.02800954,0.06197855,0.03516091
KMM 202,0.1347282,0.10772449,0.11556427,0.13470724,0.13470724,0.13470724,0.10883664,0.13477852,0.11152028,0.13995472,0.1416969,0.15127886,0.14163848,0.15791184,0.12717328,0.09512024,0.10853845,0.10406571,0.01710376,0.00342075,0.02052452,0.0639055,0.1136095,0.1047335,0.05971897,0.1088993,0.06674473,0.13995472,0.13559929,0.12427515,0.16876074,0.13983033,0.1778015,0.10108389,0.11539665,0.09661115,0.00798176,0.00285063,0.01311288,0.09704142,0.2035503,0.21952663,0.08899297,0.03629977,0.04859485
KMM 203,0.00842051,0.00580725,0.00145181,,,,,,,0.01887356,0.00667834,0.01190486,,,,,,,-0.0034208,-0.0085519,-0.0102623,,,,,,,0.0092916,0.00667834,0.00667834,,,,,,,-0.0022805,0.00798176,0.00798176,,,,,,
KMM 204,0.08681839,0.08943165,0.08943165,0.06573541,0.07126455,0.06481388,0.043430748,0.081862273,0.026558371,0.09640035,0.12601732,0.14518125,0.04822644,0.04546187,0.06481388,0.071238924,0.068426861,0.07686305,0.15564424,0.08893957,0.08893957,0.02714113,0.09770808,0.36007238,0.019018405,0.098159509,0.085276074,0.07462316,0.13124385,0.12950167,0.04331165,0.08662329,0.12809189,0.080924918,0.063115187,0.060303124,0.05929304,0.163626,0.03192702,0.12303981,0.66586248,0.27322075,-0.009815951,0.074846626,0.142944785
KMM 205,0.12340406,0.10859557,0.13995472,,,,,,,0.13037276,0.11207992,0.1416969,,,,,,,0.02223489,0.05473204,0.08893957,,,,,,,0.13385711,0.16347409,0.13995472,,,,,,,0.02850627,0.05929304,0.02337514,,,,,,
KMM 206,0.12295426,0.12205018,0.12566648,,,,,,,0.13530995,0.09914694,0.12717328,,,,,,,0.01952663,0.03550296,0.04260355,,,,,,,0.10999584,0.1190366,0.11270807,,,,,,,0.02426036,0.03313609,0.0260355,,,,,,
KMM 207,0.14431016,0.13124385,0.1207908,,,,,,,0.1835091,0.15824756,0.1347282,,,,,,,0.14025086,0.11288483,0.04789054,,,,,,,0.12166189,0.12427515,0.14518125,,,,,,,0.00285063,0.01311288,0.03876853,,,,,,
KMM 208,0.04500619,0.0371664,0.03281096,,,,,,,0.02235791,0.02235791,0.01974465,,,,,,,0.01197263,-0.0034208,-0.0034208,,,,,,,0.02584226,0.02235791,0.03803749,,,,,,,-0.0022805,-0.0022805,-0.0022805,,,,,,
KMM 212,0.10342253,0.08087401,0.11965746,,,,,,,0.17798295,0.15994414,0.17978684,,,,,,,0.00531287,0.02302243,0.00531287,,,,,,,0.13288592,0.1301801,0.15994414,,,,,,,0.03305785,0.00118064,0.00118064,,,,,,
KMM 214,0.06554102,0.06012938,0.06824684,0.0731076,0.07218608,0.09061657,0.030307788,0.049054873,0.034994559,0.08508307,0.06073067,0.0724559,0.0767937,0.05467711,0.07126455,0.029057982,0.037494171,0.037494171,0.00885478,0.01948052,0.04958678,0.03256936,0.03256936,0.01809409,0.002453988,0.011656442,0.006134969,0.07335784,0.06884814,0.09590636,0.04239012,0.06819281,0.06082061,0.037806622,0.043430748,0.029370434,0.01180638,0.00118064,0.01711924,0.04523522,0.01266586,0.01085645,-0.000613497,-0.002453988,0.012269939
