,Control,,,KMM 191,,,KMM 193,,,KMM 195,,,KMM 202,,,KMM 230,,,202x230,,,191x202,,,195x202,,,191x230,,,191x193,,,230x193,,,193x195,,,191x195,,
PP,-0.0038314,-0.0038314,0.00766284,0.04789272,0.05938697,0.06321839,0.02490421,0.01340996,0.03065134,0.02490421,0.00766284,0.01915709,0.08237548,0.09386973,0.08812261,0.03639847,0.03065134,0.03831418,0.07279693,0.07662835,0.06130268,0.09578544,0.08237548,0.07088123,0.04789272,0.05363985,0.0651341,0.0210728,0.04789272,0.04214559,0.06704981,0.04789272,0.08045977,0.04022989,0.05938697,0.0651341,0.01915709,0.01340996,0.01340996,0.00766284,0.00574713,0.00383142
PT,0.00383142,-0.0038314,-0.0019157,0.03831418,0.04214559,0.01340996,0.00957854,0.00574713,0.04789272,0.02298851,0.00191571,0.05938697,0.10536398,0.10536398,0.10153257,0.00957854,0.01340996,0.01340996,0.04214559,0.04789272,0.03639847,0.04214559,0.04789272,0.03639847,0.03448276,0.0651341,0.03065134,0.00957854,0.0651341,0.01915709,0.03065134,0.03065134,0.00766284,0.01340996,0.00766284,0.01340996,0.00766284,0.01915709,0.01340996,0.04214559,0.03065134,0.02490421
