C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189	297.678	2106.14	2106.14	2106.14	2106.14	2106.14	2106.14	2106.14	0	0
1189.1	297.578	2130.64	2130.64	2130.64	2130.64	2130.64	2130.64	2130.64	0	0
1189.2	297.478	1955.83	1955.83	1955.83	1955.83	1955.83	1955.83	1955.83	0	0
1189.3	297.378	2001.92	2001.92	2001.92	2001.92	2001.92	2001.92	2001.92	0	0
1189.4	297.278	2004.32	2004.32	2004.32	2004.32	2004.32	2004.32	2004.32	0	0
1189.5	297.178	1754.8	1754.8	1754.8	1754.8	1754.8	1754.8	1754.8	0	0
1189.6	297.078	1882.53	1882.53	1882.53	1882.53	1882.53	1882.53	1882.53	0	0
1189.7	296.978	1715.64	1715.64	1715.64	1715.64	1715.64	1715.64	1715.64	0	0
1189.8	296.878	1717.99	1717.99	1717.99	1717.99	1717.99	1717.99	1717.99	0	0
1189.9	296.778	1729.2	1729.2	1729.2	1729.2	1729.2	1729.2	1729.2	0	0
1190	296.678	1750.88	1750.88	1750.88	1750.88	1750.88	1750.88	1750.88	0	0
1190.1	296.578	1568.41	1568.41	1568.41	1568.41	1568.41	1568.41	1568.41	0	0
1190.2	296.478	1971.25	1971.25	1971.25	1971.25	1971.25	1971.25	1971.25	0	0
1190.3	296.378	1788.39	1788.39	1788.39	1788.39	1788.39	1788.39	1788.39	0	0
1190.4	296.278	1878.56	1878.56	1878.56	1878.56	1878.56	1878.56	1878.56	0	0
1190.5	296.178	1303.25	1303.25	1303.25	1303.25	1303.25	1303.25	1303.25	0	0
1190.6	296.078	1729.54	1729.54	1729.54	1729.54	1729.54	1729.54	1729.54	0	0
1190.7	295.978	1764.94	1764.94	1764.94	1764.94	1764.94	1764.94	1764.94	0	0
1190.8	295.878	1484.02	1484.02	1484.02	1484.02	1484.02	1484.02	1484.02	0	0
1190.9	295.778	1690.73	1690.73	1690.73	1690.73	1690.73	1690.73	1690.73	0	0
1191	295.678	1409.27	1409.27	1409.27	1409.27	1409.27	1409.27	1409.27	0	0
1191.1	295.578	1592.15	1592.15	1592.15	1592.15	1592.15	1592.15	1592.15	0	0
1191.2	295.478	1417.89	1417.89	1417.89	1417.89	1417.89	1417.89	1417.89	0	0
1191.3	295.378	1368.58	1368.58	1368.58	1368.58	1368.58	1368.58	1368.58	0	0
1191.4	295.278	1383.06	1383.06	1383.06	1383.06	1383.06	1383.06	1383.06	0	0
1191.5	295.178	1100.48	1100.48	1100.48	1100.48	1100.48	1100.48	1100.48	0	0
1191.6	295.078	1467.65	1467.65	1467.65	1467.65	1467.65	1467.65	1467.65	0	0
1191.7	294.978	1258.26	1258.26	1258.26	1258.26	1258.26	1258.26	1258.26	0	0
1191.8	294.878	1399.81	1399.81	1399.81	1399.81	1399.81	1399.81	1399.81	0	0
1191.9	294.778	1063.35	1063.35	1063.35	1063.35	1063.35	1063.35	1063.35	0	0
1192	294.678	995.96	995.96	995.96	995.96	995.96	995.96	995.96	0	0
1192.1	294.578	1021.89	1021.89	1021.89	1021.89	1021.89	1021.89	1021.89	0	0
1192.2	294.478	1052.58	1052.58	1052.58	1052.58	1052.58	1052.58	1052.58	0	0
1192.3	294.378	1075.55	1075.55	1075.55	1075.55	1075.55	1075.55	1075.55	0	0
1192.4	294.278	1461.34	1461.34	1461.34	1461.34	1461.34	1461.34	1461.34	0	0
1192.5	294.178	1100.84	1100.84	1100.84	1100.84	1100.84	1100.84	1100.84	0	0
1192.6	294.078	1014.23	1014.23	1014.23	1014.23	1014.23	1014.23	1014.23	0	0
