C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189	297.681	3242.9	3242.9	3242.9	3242.9	3242.9	3242.9	3242.9	0	0
1189.1	297.581	2787.02	2787.02	2787.02	2787.02	2787.02	2787.02	2787.02	0	0
1189.2	297.481	2723.98	2723.98	2723.98	2723.98	2723.98	2723.98	2723.98	0	0
1189.3	297.381	2633.06	2633.06	2633.06	2633.06	2633.06	2633.06	2633.06	0	0
1189.4	297.281	2975.82	2975.82	2975.82	2975.82	2975.82	2975.82	2975.82	0	0
1189.5	297.181	2742.22	2742.22	2742.22	2742.22	2742.22	2742.22	2742.22	0	0
1189.6	297.081	2551.64	2551.64	2551.64	2551.64	2551.64	2551.64	2551.64	0	0
1189.7	296.981	2697.58	2697.58	2697.58	2697.58	2697.58	2697.58	2697.58	0	0
1189.8	296.881	2701.18	2701.18	2701.18	2701.18	2701.18	2701.18	2701.18	0	0
1189.9	296.781	2857.96	2857.96	2857.96	2857.96	2857.96	2857.96	2857.96	0	0
1190	296.681	2586.64	2586.64	2586.64	2586.64	2586.64	2586.64	2586.64	0	0
1190.1	296.581	2473.42	2473.42	2473.42	2473.42	2473.42	2473.42	2473.42	0	0
1190.2	296.481	2545.58	2545.58	2545.58	2545.58	2545.58	2545.58	2545.58	0	0
1190.3	296.381	2440.88	2440.88	2440.88	2440.88	2440.88	2440.88	2440.88	0	0
1190.4	296.281	2419.42	2419.42	2419.42	2419.42	2419.42	2419.42	2419.42	0	0
1190.5	296.181	2135.68	2135.68	2135.68	2135.68	2135.68	2135.68	2135.68	0	0
1190.6	296.081	2094.58	2094.58	2094.58	2094.58	2094.58	2094.58	2094.58	0	0
1190.7	295.981	2396.8	2396.8	2396.8	2396.8	2396.8	2396.8	2396.8	0	0
1190.8	295.881	1862.65	1862.65	1862.65	1862.65	1862.65	1862.65	1862.65	0	0
1190.9	295.781	2314.36	2314.36	2314.36	2314.36	2314.36	2314.36	2314.36	0	0
1191	295.681	2324.68	2324.68	2324.68	2324.68	2324.68	2324.68	2324.68	0	0
1191.1	295.581	1871.53	1871.53	1871.53	1871.53	1871.53	1871.53	1871.53	0	0
1191.2	295.481	1747.84	1747.84	1747.84	1747.84	1747.84	1747.84	1747.84	0	0
1191.3	295.381	1926.25	1926.25	1926.25	1926.25	1926.25	1926.25	1926.25	0	0
1191.4	295.281	1772.95	1772.95	1772.95	1772.95	1772.95	1772.95	1772.95	0	0
1191.5	295.181	2061.6	2061.6	2061.6	2061.6	2061.6	2061.6	2061.6	0	0
1191.6	295.081	1432.9	1432.9	1432.9	1432.9	1432.9	1432.9	1432.9	0	0
1191.7	294.981	1552.01	1552.01	1552.01	1552.01	1552.01	1552.01	1552.01	0	0
1191.8	294.881	1488.73	1488.73	1488.73	1488.73	1488.73	1488.73	1488.73	0	0
1191.9	294.781	1797.8	1797.8	1797.8	1797.8	1797.8	1797.8	1797.8	0	0
1192	294.681	1556.56	1556.56	1556.56	1556.56	1556.56	1556.56	1556.56	0	0
1192.1	294.581	1285.12	1285.12	1285.12	1285.12	1285.12	1285.12	1285.12	0	0
1192.2	294.481	1519.67	1519.67	1519.67	1519.67	1519.67	1519.67	1519.67	0	0
1192.3	294.381	1224.72	1224.72	1224.72	1224.72	1224.72	1224.72	1224.72	0	0
1192.4	294.281	1390.04	1390.04	1390.04	1390.04	1390.04	1390.04	1390.04	0	0
1192.5	294.181	1531.59	1531.59	1531.59	1531.59	1531.59	1531.59	1531.59	0	0
1192.6	294.081	1304.52	1304.52	1304.52	1304.52	1304.52	1304.52	1304.52	0	0
1192.7	293.981	1546.12	1546.12	1546.12	1546.12	1546.12	1546.12	1546.12	0	0
1192.8	293.881	1257.4	1257.4	1257.4	1257.4	1257.4	1257.4	1257.4	0	0
1192.9	293.781	1279.37	1279.37	1279.37	1279.37	1279.37	1279.37	1279.37	0	0
1193	293.681	1079.6	1079.6	1079.6	1079.6	1079.6	1079.6	1079.6	0	0
1193.1	293.581	1050.3	1050.3	1050.3	1050.3	1050.3	1050.3	1050.3	0	0
1193.2	293.481	987.678	987.678	987.678	987.678	987.678	987.678	987.678	0	0
