C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.24	297.436	1774.05	1774.05	1774.05	1774.05	1774.05	1774.05	1774.05	0	0
1189.34	297.336	1678.05	1678.05	1678.05	1678.05	1678.05	1678.05	1678.05	0	0
1189.44	297.236	2124.08	2124.08	2124.08	2124.08	2124.08	2124.08	2124.08	0	0
1189.54	297.136	1976.86	1976.86	1976.86	1976.86	1976.86	1976.86	1976.86	0	0
1189.64	297.036	1915.37	1915.37	1915.37	1915.37	1915.37	1915.37	1915.37	0	0
1189.74	296.936	1855.12	1855.12	1855.12	1855.12	1855.12	1855.12	1855.12	0	0
1189.84	296.836	1631.91	1631.91	1631.91	1631.91	1631.91	1631.91	1631.91	0	0
1189.94	296.736	1300.57	1300.57	1300.57	1300.57	1300.57	1300.57	1300.57	0	0
1190.04	296.636	1367.03	1367.03	1367.03	1367.03	1367.03	1367.03	1367.03	0	0
1190.14	296.536	1722.93	1722.93	1722.93	1722.93	1722.93	1722.93	1722.93	0	0
1190.24	296.436	1528.15	1528.15	1528.15	1528.15	1528.15	1528.15	1528.15	0	0
1190.34	296.336	1514.51	1514.51	1514.51	1514.51	1514.51	1514.51	1514.51	0	0
1190.44	296.236	1718.69	1718.69	1718.69	1718.69	1718.69	1718.69	1718.69	0	0
1190.54	296.136	1367.57	1367.57	1367.57	1367.57	1367.57	1367.57	1367.57	0	0
1190.64	296.036	1533.9	1533.9	1533.9	1533.9	1533.9	1533.9	1533.9	0	0
1190.74	295.936	1709.43	1709.43	1709.43	1709.43	1709.43	1709.43	1709.43	0	0
1190.84	295.836	1819.43	1819.43	1819.43	1819.43	1819.43	1819.43	1819.43	0	0
1190.94	295.736	1762.58	1762.58	1762.58	1762.58	1762.58	1762.58	1762.58	0	0
1191.04	295.636	1610.82	1610.82	1610.82	1610.82	1610.82	1610.82	1610.82	0	0
1191.14	295.536	1430.14	1430.14	1430.14	1430.14	1430.14	1430.14	1430.14	0	0
1191.24	295.436	1687.43	1687.43	1687.43	1687.43	1687.43	1687.43	1687.43	0	0
1191.34	295.336	1540.21	1540.21	1540.21	1540.21	1540.21	1540.21	1540.21	0	0
1191.44	295.236	1690.09	1690.09	1690.09	1690.09	1690.09	1690.09	1690.09	0	0
1191.54	295.136	1672.9	1672.9	1672.9	1672.9	1672.9	1672.9	1672.9	0	0
1191.64	295.036	1675.59	1675.59	1675.59	1675.59	1675.59	1675.59	1675.59	0	0
1191.74	294.936	1549.36	1549.36	1549.36	1549.36	1549.36	1549.36	1549.36	0	0
1191.84	294.836	1480.31	1480.31	1480.31	1480.31	1480.31	1480.31	1480.31	0	0
1191.94	294.736	1323.35	1323.35	1323.35	1323.35	1323.35	1323.35	1323.35	0	0
1192.04	294.636	1598.69	1598.69	1598.69	1598.69	1598.69	1598.69	1598.69	0	0
1192.14	294.536	1640.19	1640.19	1640.19	1640.19	1640.19	1640.19	1640.19	0	0
1192.24	294.436	1386.8	1386.8	1386.8	1386.8	1386.8	1386.8	1386.8	0	0
1192.34	294.336	1690.45	1690.45	1690.45	1690.45	1690.45	1690.45	1690.45	0	0
1192.44	294.236	1321.17	1321.17	1321.17	1321.17	1321.17	1321.17	1321.17	0	0
1192.54	294.136	1245.22	1245.22	1245.22	1245.22	1245.22	1245.22	1245.22	0	0
1192.64	294.036	1184.51	1184.51	1184.51	1184.51	1184.51	1184.51	1184.51	0	0
1192.74	293.936	1469.4	1469.4	1469.4	1469.4	1469.4	1469.4	1469.4	0	0
1192.84	293.836	1450.11	1450.11	1450.11	1450.11	1450.11	1450.11	1450.11	0	0
1192.94	293.736	1453.96	1453.96	1453.96	1453.96	1453.96	1453.96	1453.96	0	0
1193.04	293.636	1461.86	1461.86	1461.86	1461.86	1461.86	1461.86	1461.86	0	0
1193.14	293.536	1331.02	1331.02	1331.02	1331.02	1331.02	1331.02	1331.02	0	0
1193.24	293.436	1476.39	1476.39	1476.39	1476.39	1476.39	1476.39	1476.39	0	0
1193.34	293.336	1314.31	1314.31	1314.31	1314.31	1314.31	1314.31	1314.31	0	0
1193.44	293.236	1317.93	1317.93	1317.93	1317.93	1317.93	1317.93	1317.93	0	0
1193.54	293.136	1445.43	1445.43	1445.43	1445.43	1445.43	1445.43	1445.43	0	0
1193.64	293.036	1584.71	1584.71	1584.71	1584.71	1584.71	1584.71	1584.71	0	0
1193.74	292.936	1252	1252	1252	1252	1252	1252	1252	0	0
1193.84	292.836	1450.98	1450.98	1450.98	1450.98	1450.98	1450.98	1450.98	0	0
1193.94	292.736	1478.46	1478.46	1478.46	1478.46	1478.46	1478.46	1478.46	0	0
1194.04	292.636	1362.4	1362.4	1362.4	1362.4	1362.4	1362.4	1362.4	0	0
1194.14	292.536	959.73	959.73	959.73	959.73	959.74	959.73	959.74	0	0
1194.24	292.436	1365.73	1365.73	1365.73	1365.73	1365.74	1365.73	1365.74	0	0
1194.34	292.336	1093.55	1256.93	1256.93	1256.93	1256.96	1256.93	1256.96	1.10494	8.17037
1194.44	292.236	1311.62	1256.91	1256.91	1256.91	1256.97	1256.91	1256.97	-0.337405	-2.73237
1194.54	292.136	1254	1256.91	1256.91	1256.91	1257.01	1256.91	1257.01	0.0190004	0.150451
1194.64	292.036	1169.95	1256.89	1256.89	1256.89	1257.06	1256.89	1257.06	0.569448	4.35535
1194.74	291.936	1399.8	1256.86	1256.86	1256.86	1257.14	1256.86	1257.14	-0.852633	-7.13312
1194.84	291.836	1283.68	1256.85	1256.85	1256.85	1257.31	1256.85	1257.31	-0.164574	-1.31848
1194.94	291.736	1232.07	1256.84	1256.84	1256.84	1257.6	1256.84	1257.6	0.162649	1.2766
1195.04	291.636	988.304	1256.78	1256.78	1256.78	1257.99	1256.78	1257.99	1.91825	13.4845
1195.14	291.536	1241.73	1256.78	1256.78	1256.78	1258.7	1256.78	1258.7	0.107701	0.848631
1195.24	291.436	1046.65	1256.73	1256.73	1256.73	1259.75	1256.73	1259.75	1.47287	10.6549
1195.34	291.336	1323.96	1256.71	1256.71	1256.71	1261.36	1256.71	1261.37	-0.384635	-3.12947
1195.44	291.236	1095.76	1256.67	1256.67	1256.68	1263.77	1256.67	1263.77	1.13494	8.40071
1195.54	291.136	1236.05	1256.67	1256.67	1256.67	1267.31	1256.67	1267.32	0.198838	1.56316
1195.64	291.036	1383.17	1256.64	1256.64	1256.65	1272.43	1256.64	1272.44	-0.665791	-5.53683
1195.74	290.936	1391.97	1256.6	1256.6	1256.62	1279.63	1256.6	1279.65	-0.673197	-5.6162
1195.84	290.836	1288.9	1256.6	1256.6	1256.63	1289.81	1256.6	1289.84	0.00589119	0.047293
1195.94	290.736	1132.7	1256.57	1256.57	1256.62	1303.66	1256.57	1303.71	1.13619	8.55053
1196.04	290.636	1282.15	1256.56	1256.56	1256.65	1322.59	1256.56	1322.68	0.253063	2.02621
1196.14	290.536	1063.69	1256.52	1256.52	1256.66	1347.51	1256.52	1347.65	1.94689	14.1982
1196.24	290.436	1418.32	1256.48	1256.48	1256.7	1380.41	1256.48	1380.64	-0.223769	-1.8844
1196.34	290.336	1508.96	1256.42	1256.42	1256.78	1422.29	1256.42	1422.65	-0.496817	-4.31539
1196.44	290.236	1326.66	1256.4	1256.4	1256.96	1475.62	1256.4	1476.18	0.917924	7.47604
1196.54	290.136	1319.33	1256.38	1256.39	1257.24	1541.04	1256.38	1541.9	1.37014	11.1283
1196.64	290.036	1438.55	1256.34	1256.35	1257.64	1620.83	1256.34	1622.13	1.08231	9.17911
1196.74	289.936	1694.83	1256.24	1256.25	1258.18	1714.63	1256.24	1716.58	0.118114	1.0873
1196.84	289.836	1749.16	1256.12	1256.14	1258.97	1823.53	1256.12	1826.4	0.412956	3.86193
1196.94	289.736	1652.25	1256.02	1256.06	1260.16	1945.45	1256.02	1949.62	1.63583	14.8683
1197.04	289.636	2000.48	1255.85	1255.91	1261.76	2078.57	1255.85	2084.55	0.42029	4.20341
1197.14	289.536	2119.18	1255.64	1255.76	1263.98	2218.33	1255.64	2226.79	0.522694	5.38042
1197.24	289.436	2253.98	1255.4	1255.6	1266.99	2359.29	1255.4	2371.08	0.551538	5.85511
1197.34	289.336	2485.04	1255.11	1255.45	1270.99	2494.54	1255.11	2510.76	0.115362	1.28592
1197.44	289.236	2875.52	1254.72	1255.29	1276.16	2615.54	1254.72	2637.54	-0.992352	-11.899
1197.54	289.136	2960.58	1254.32	1255.24	1282.83	2715.18	1254.32	2744.62	-0.887503	-10.798
1197.64	289.036	2841.46	1253.94	1255.44	1291.29	2785.02	1253.94	2823.87	-0.0737713	-0.879312
1197.74	288.936	3127.18	1253.49	1255.89	1301.66	2820.82	1253.49	2871.39	-1.02282	-12.7897
1197.84	288.836	2849.18	1253.11	1256.9	1314.24	2818.4	1253.11	2883.31	0.142981	1.70657
1197.94	288.736	2943.46	1252.71	1258.58	1328.98	2779.13	1252.71	2861.28	-0.338721	-4.10919
1198.04	288.636	2940.86	1252.31	1261.33	1345.85	2705.08	1252.3	2807.65	-0.549288	-6.66074
1198.14	288.536	2327.54	1252.05	1265.67	1364.69	2602.96	1252.05	2729.24	1.86181	20.0849
1198.24	288.436	2959.34	1251.65	1271.99	1384.76	2479.3	1251.64	2632.78	-1.34228	-16.3278
1198.34	288.336	2350.8	1251.39	1281.28	1405.6	2342.85	1251.38	2526.98	0.812537	8.80919
1198.44	288.236	2037.16	1251.22	1294.6	1426.19	2201.28	1251.19	2419.72	1.89529	19.1281
1198.54	288.136	2301.48	1251	1312.98	1445.28	2061.4	1250.94	2317.85	0.076283	0.818307
1198.64	288.036	2425.52	1250.79	1338.19	1461.63	1928.84	1250.66	2227.48	-0.899166	-9.9021
1198.74	287.936	1921.06	1250.76	1372.12	1474.34	1807.58	1250.5	2153.3	1.18486	11.6124
1198.84	287.836	2124.42	1250.8	1416.98	1482.11	1699.89	1250.29	2098.9	-0.123784	-1.27577
1198.94	287.736	2010.6	1251.09	1475.11	1484.57	1606.86	1250.11	2067.3	0.282755	2.83503
1199.04	287.636	1938.76	1251.79	1549.27	1481.26	1528.39	1249.95	2060.86	0.620081	6.10514
1199.14	287.536	1970.27	1253.16	1641.85	1472.67	1463.73	1249.77	2082.08	0.563293	5.5909
1199.24	287.436	2156.42	1255.67	1755.16	1459.18	1411.38	1249.56	2132.72	-0.114116	-1.18495
1199.34	287.336	2568.4	1260.06	1890.83	1441.96	1369.87	1249.24	2214.99	-1.55929	-17.6703
1199.44	287.236	2827.1	1267.63	2049.42	1422.05	1337.4	1248.87	2329.9	-2.09096	-24.86
1199.54	287.136	2784.94	1280.43	2230.32	1400.84	1312.6	1248.5	2478.7	-1.29759	-15.312
1199.64	287.036	2494.66	1301.54	2430.54	1379.46	1293.9	1248.2	2660.84	0.743967	8.30892
1199.74	286.936	2683.82	1335.23	2645.11	1358.72	1280.03	1247.86	2875.51	0.827382	9.58447
1199.84	286.836	3335.5	1387.66	2866.07	1339.29	1269.64	1247.36	3120.58	-0.832116	-10.7461
1199.94	286.736	3529.86	1467.71	3083.58	1321.62	1262.07	1246.82	3394.53	-0.509321	-6.76637
1200.04	286.636	3284.5	1587.26	3286.09	1306.22	1256.6	1246.33	3697.18	1.61014	20.634
1200.14	286.536	3782.7	1761.5	3460.11	1292.82	1252.57	1245.73	4029.81	0.898425	12.3557
1200.24	286.436	4236.54	2009.68	3594.45	1281.51	1249.49	1245.01	4400.1	0.561907	8.17815
1200.34	286.336	4275.68	2355	3677.44	1272.09	1247.19	1244.29	4818.85	1.85745	27.1584
1200.44	286.236	5004.48	2823.47	3704.25	1264.29	1245.24	1243.39	5307.06	0.956419	15.1291
1200.54	286.136	6248.8	3442.6	3670.07	1257.64	1243.36	1242.2	5887.07	-1.02322	-18.0863
1200.64	286.036	6803.6	4238.76	3580.38	1252.14	1241.59	1240.87	6590.26	-0.578358	-10.6672
1200.74	285.936	7407.18	5232.32	3439.61	1247.49	1239.84	1239.4	7441.05	0.0880029	1.69359
1200.84	285.836	8449.04	6432.01	3260.48	1243.42	1237.95	1237.68	8460.81	0.0286218	0.588282
1200.94	285.736	9884.16	7828.24	3053.35	1239.62	1235.78	1235.62	9650.13	-0.526367	-11.7016
1201.04	285.636	11426.8	9386.38	2832.17	1235.95	1233.28	1233.19	10988.2	-0.917501	-21.9308
1201.14	285.536	12996.7	11041.6	2608.11	1232.25	1230.44	1230.38	12421.3	-1.12867	-28.772
1201.24	285.436	14586.2	12698	2390.83	1228.45	1227.23	1227.2	13862.9	-1.33916	-36.1651
1201.34	285.336	15371.3	14233.8	2188.72	1224.65	1223.84	1223.82	15199.6	-0.309684	-8.58537
1201.44	285.236	15273.8	15514.4	2005.62	1221.01	1220.48	1220.47	16300.1	1.85695	51.3166
1201.54	285.136	16378.3	16411.6	1845.5	1217.2	1216.86	1216.86	17040.6	1.15721	33.1156
1201.64	285.036	17468.4	16827.7	1707.29	1213.2	1212.98	1212.98	17322.2	-0.24733	-7.30951
1201.74	284.936	17288.7	16714.8	1592.25	1209.28	1209.15	1209.15	17098.1	-0.324147	-9.53031
1201.84	284.836	15993.9	16085.6	1497.38	1205.71	1205.62	1205.62	16377.5	0.678249	19.1801
1201.94	284.736	14627	15010.1	1421.71	1202.47	1202.42	1202.42	15229.4	1.11379	30.1207
1202.04	284.636	13289.1	13600.2	1361.56	1199.57	1199.54	1199.54	13762.3	0.917775	23.6575
1202.14	284.536	13216.2	11991.2	1314.92	1196.69	1196.67	1196.67	12109.5	-2.15258	-55.3346
1202.24	284.436	10274.2	10315.7	1279.36	1194.52	1194.51	1194.51	10400.6	0.278775	6.31848
1202.34	284.336	9098.5	8685.6	1252.8	1192.63	1192.62	1192.62	8745.78	-0.826847	-17.6358
1202.44	284.236	7861.6	7184.18	1233	1191.03	1191.03	1191.03	7226.15	-1.60254	-31.7724
1202.54	284.136	5771.8	5863.45	1218.88	1189.94	1189.94	1189.94	5892.39	0.354934	6.02959
1202.64	284.036	4570.26	4746.59	1208.76	1189.13	1189.13	1189.13	4766.21	0.648142	9.79773
1202.74	283.936	4124.62	3834.41	1201.59	1188.43	1188.43	1188.43	3847.57	-0.9646	-13.8524
1202.84	283.836	3079.52	3112.63	1196.66	1187.98	1187.98	1187.98	3121.32	0.168413	2.08979
1202.94	283.736	3023.4	2557.59	1193.2	1187.54	1187.54	1187.54	2563.25	-1.87126	-23.0074
1203.04	283.636	2607.08	2142.14	1190.84	1187.2	1187.2	1187.2	2145.77	-2.02024	-23.0656
1203.14	283.536	2017.6	1839	1189.31	1187.01	1187.01	1187.01	1841.31	-0.877614	-8.81467
1203.24	283.436	1918.44	1623.04	1188.27	1186.83	1186.83	1186.83	1624.48	-1.50073	-14.6982
1203.34	283.336	1507.44	1472.79	1187.64	1186.76	1186.76	1186.76	1473.68	-0.194463	-1.68828
1203.44	283.236	1867.13	1370.46	1187.13	1186.59	1186.59	1186.59	1371	-2.56741	-24.8066
1203.54	283.136	1479.86	1302.4	1186.85	1186.52	1186.52	1186.52	1302.72	-1.02965	-8.857
1203.64	283.036	1254.37	1258.1	1186.7	1186.51	1186.51	1186.51	1258.29	0.0247482	0.195994
1203.74	282.936	1439.67	1229.82	1186.56	1186.45	1186.45	1186.45	1229.93	-1.236	-10.4866
1203.84	282.836	1346.55	1212.18	1186.47	1186.41	1186.41	1186.41	1212.24	-0.81846	-6.71575
1203.94	282.736	1160.79	1201.41	1186.44	1186.4	1186.4	1186.4	1201.45	0.266845	2.03292
1204.04	282.636	1450.16	1194.91	1186.36	1186.34	1186.34	1186.34	1194.93	-1.49868	-12.7615
1204.14	282.536	1190.04	1191.14	1186.35	1186.34	1186.34	1186.34	1191.15	0.00721125	0.0556257
1204.24	282.436	1395.4	1188.92	1186.29	1186.29	1186.29	1186.29	1188.93	-1.23593	-10.3235
1204.34	282.336	1247.09	1187.69	1186.28	1186.27	1186.27	1186.27	1187.7	-0.376109	-2.96995
1204.44	282.236	1341.62	1186.99	1186.24	1186.24	1186.24	1186.24	1186.99	-0.944007	-7.7317
1204.54	282.136	1284.68	1186.6	1186.21	1186.21	1186.21	1186.21	1186.6	-0.611889	-4.90406
1204.64	282.036	1194.92	1186.41	1186.21	1186.21	1186.21	1186.21	1186.41	-0.0550791	-0.425738
1204.74	281.936	1151.46	1186.3	1186.2	1186.2	1186.2	1186.2	1186.3	0.229621	1.74229
1204.84	281.836	1233.34	1186.24	1186.19	1186.19	1186.19	1186.19	1186.24	-0.299866	-2.35479
1204.94	281.736	1021.84	1186.18	1186.15	1186.15	1186.15	1186.15	1186.18	1.14954	8.21679
1205.04	281.636	1205.88	1186.16	1186.15	1186.15	1186.15	1186.15	1186.16	-0.127014	-0.986252
1205.14	281.536	1287.01	1186.13	1186.12	1186.12	1186.12	1186.12	1186.13	-0.62881	-5.04425
1205.24	281.436	1226.03	1186.12	1186.11	1186.11	1186.11	1186.11	1186.12	-0.254914	-1.99586
1205.34	281.336	1324.76	1186.08	1186.08	1186.08	1186.08	1186.08	1186.08	-0.851943	-6.93367
1205.44	281.236	1259.6	1186.06	1186.06	1186.06	1186.06	1186.06	1186.06	-0.46328	-3.67658
1205.54	281.136	973.84	973.84	973.84	973.84	973.84	973.84	973.84	0	0
1205.64	281.036	918.69	918.69	918.69	918.69	918.69	918.69	918.69	0	0
1205.74	280.936	1248.51	1248.51	1248.51	1248.51	1248.51	1248.51	1248.51	0	0
