C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.41	297.27	1851.23	1851.23	1851.23	1851.23	1851.23	1851.23	1851.23	0	0
1189.51	297.17	1688.7	1688.7	1688.7	1688.7	1688.7	1688.7	1688.7	0	0
1189.61	297.07	1731.31	1731.31	1731.31	1731.31	1731.31	1731.31	1731.31	0	0
1189.71	296.97	1603.77	1603.77	1603.77	1603.77	1603.77	1603.77	1603.77	0	0
1189.81	296.87	1782.22	1782.22	1782.22	1782.22	1782.22	1782.22	1782.22	0	0
1189.91	296.77	1760.42	1760.42	1760.42	1760.42	1760.42	1760.42	1760.42	0	0
1190.01	296.67	1816.23	1816.23	1816.23	1816.23	1816.23	1816.23	1816.23	0	0
1190.11	296.57	1723.29	1723.29	1723.29	1723.29	1723.29	1723.29	1723.29	0	0
1190.21	296.47	1743.99	1743.99	1743.99	1743.99	1743.99	1743.99	1743.99	0	0
1190.31	296.37	1777.46	1777.46	1777.46	1777.46	1777.46	1777.46	1777.46	0	0
1190.41	296.27	1599.62	1599.62	1599.62	1599.62	1599.62	1599.62	1599.62	0	0
1190.51	296.17	1920.43	1920.43	1920.43	1920.43	1920.43	1920.43	1920.43	0	0
1190.61	296.07	1665.06	1665.06	1665.06	1665.06	1665.06	1665.06	1665.06	0	0
1190.71	295.97	1645.79	1645.79	1645.79	1645.79	1645.79	1645.79	1645.79	0	0
1190.81	295.87	1429.36	1429.36	1429.36	1429.36	1429.36	1429.36	1429.36	0	0
1190.91	295.77	1585.42	1585.42	1585.42	1585.42	1585.42	1585.42	1585.42	0	0
1191.01	295.67	2040.92	2040.92	2040.92	2040.92	2040.92	2040.92	2040.92	0	0
1191.11	295.57	1814.48	1814.48	1814.48	1814.48	1814.48	1814.48	1814.48	0	0
1191.21	295.47	1500.28	1500.28	1500.28	1500.28	1500.28	1500.28	1500.28	0	0
1191.31	295.37	1808.31	1808.31	1808.31	1808.31	1808.31	1808.31	1808.31	0	0
1191.41	295.27	1466.22	1466.22	1466.22	1466.22	1466.22	1466.22	1466.22	0	0
1191.51	295.17	1935.74	1935.74	1935.74	1935.74	1935.74	1935.74	1935.74	0	0
1191.61	295.07	1643.06	1643.06	1643.06	1643.06	1643.06	1643.06	1643.06	0	0
1191.71	294.97	1341.61	1341.61	1341.61	1341.61	1341.61	1341.61	1341.61	0	0
1191.81	294.87	1627.74	1627.74	1627.74	1627.74	1627.74	1627.74	1627.74	0	0
1191.91	294.77	1824.57	1824.57	1824.57	1824.57	1824.57	1824.57	1824.57	0	0
1192.01	294.67	1889.95	1889.95	1889.95	1889.95	1889.95	1889.95	1889.95	0	0
1192.11	294.57	1744.94	1744.94	1744.94	1744.94	1744.94	1744.94	1744.94	0	0
1192.21	294.47	1509.58	1509.58	1509.58	1509.58	1509.58	1509.58	1509.58	0	0
1192.31	294.37	1248.47	1248.47	1248.47	1248.47	1248.47	1248.47	1248.47	0	0
1192.41	294.27	1410.06	1410.06	1410.06	1410.06	1410.06	1410.06	1410.06	0	0
1192.51	294.17	1606.92	1606.92	1606.92	1606.92	1606.92	1606.92	1606.92	0	0
1192.61	294.07	1435.52	1435.52	1435.52	1435.52	1435.52	1435.52	1435.52	0	0
1192.71	293.97	1437.11	1437.11	1437.11	1437.11	1437.11	1437.11	1437.11	0	0
1192.81	293.87	1802.74	1802.74	1802.74	1802.74	1802.74	1802.74	1802.74	0	0
1192.91	293.77	1564.39	1564.39	1564.39	1564.39	1564.39	1564.39	1564.39	0	0
1193.01	293.67	1698.86	1698.86	1698.86	1698.86	1698.86	1698.86	1698.86	0	0
1193.11	293.57	1343.34	1343.34	1343.34	1343.34	1343.34	1343.34	1343.34	0	0
1193.21	293.47	1304.91	1304.91	1304.91	1304.91	1304.91	1304.91	1304.91	0	0
1193.31	293.37	1455.16	1455.16	1455.16	1455.16	1455.16	1455.16	1455.16	0	0
1193.41	293.27	1518.41	1518.41	1518.41	1518.41	1518.41	1518.41	1518.41	0	0
1193.51	293.17	1475.88	1475.88	1475.88	1475.88	1475.88	1475.88	1475.88	0	0
1193.61	293.07	1580.93	1580.93	1580.93	1580.93	1580.93	1580.93	1580.93	0	0
1193.71	292.97	1433.28	1433.28	1433.28	1433.28	1433.28	1433.28	1433.28	0	0
