C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.03	297.647	1978.32	1978.32	1978.32	1978.32	1978.32	1978.32	1978.32	0	0
1189.13	297.547	1872.63	1872.63	1872.63	1872.63	1872.63	1872.63	1872.63	0	0
1189.23	297.447	1949.89	1949.89	1949.89	1949.89	1949.89	1949.89	1949.89	0	0
1189.33	297.347	1796.98	1796.98	1796.98	1796.98	1796.98	1796.98	1796.98	0	0
1189.43	297.247	1826.49	1826.49	1826.49	1826.49	1826.49	1826.49	1826.49	0	0
1189.53	297.147	1889.09	1889.09	1889.09	1889.09	1889.09	1889.09	1889.09	0	0
1189.63	297.047	1543.05	1543.05	1543.05	1543.05	1543.05	1543.05	1543.05	0	0
1189.73	296.947	1959.28	1959.28	1959.28	1959.28	1959.28	1959.28	1959.28	0	0
1189.83	296.847	1713.36	1713.36	1713.36	1713.36	1713.36	1713.36	1713.36	0	0
1189.93	296.747	1890.05	1890.05	1890.05	1890.05	1890.05	1890.05	1890.05	0	0
1190.03	296.647	1723.13	1723.13	1723.13	1723.13	1723.13	1723.13	1723.13	0	0
1190.13	296.547	1544.57	1544.57	1544.57	1544.57	1544.57	1544.57	1544.57	0	0
1190.23	296.447	1593.83	1593.83	1593.83	1593.83	1593.83	1593.83	1593.83	0	0
1190.33	296.347	1764.27	1764.27	1764.27	1764.27	1764.27	1764.27	1764.27	0	0
1190.43	296.247	1612.65	1612.65	1612.65	1612.65	1612.65	1612.65	1612.65	0	0
1190.53	296.147	1446.7	1446.7	1446.7	1446.7	1446.7	1446.7	1446.7	0	0
1190.63	296.047	1599.65	1599.65	1599.65	1599.65	1599.65	1599.65	1599.65	0	0
1190.73	295.947	1654.27	1654.27	1654.27	1654.27	1654.27	1654.27	1654.27	0	0
1190.83	295.847	1645.33	1645.33	1645.33	1645.33	1645.33	1645.33	1645.33	0	0
1190.93	295.747	1280.75	1280.75	1280.75	1280.75	1280.75	1280.75	1280.75	0	0
1191.03	295.647	1469.78	1469.78	1469.78	1469.78	1469.78	1469.78	1469.78	0	0
1191.13	295.547	1590.55	1590.55	1590.55	1590.55	1590.55	1590.55	1590.55	0	0
1191.23	295.447	1306.09	1306.09	1306.09	1306.09	1306.09	1306.09	1306.09	0	0
1191.33	295.347	1177.32	1177.32	1177.32	1177.32	1177.32	1177.32	1177.32	0	0
1191.43	295.247	1545.38	1545.38	1545.38	1545.38	1545.38	1545.38	1545.38	0	0
